========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-17 16:06:51
Folder:     C:/git/step-noise-detection/data
Files:      6
            - H!_SBH01-008H-02L63894w12-431I12a-OHMX431-431_20260318162851_Baseline.tdd
            - H2_SBH01-008H-02L63894w12-431I12a-OHMX431-431_20260318155532_Baseline.tdd
            - HAK03-176B-02L58270w14-218D25a-OHMX218-218_20250913074747_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327191417_Baseline.tdd
            - JFD_KAM02-120A-02L66628w03-215H22b-OHMX215-UNO256_215_20260324203601_Baseline.tdd
            - KAM02-110A-02L66628w06-208B22a-OHMX208-UNO256_208_20260304063655_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 13
  Total segments detected:  42
  Files with detections:    4

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260318162851      8    785.0    955.0   12.2    319.2   1713.6   1743.7   0.524
20260318162851      8   1035.0   1075.0    9.3    301.1   1744.9   1742.1   0.545
20260318162851      8   1120.0   1275.0    8.1    325.3   1750.7   1709.7   0.578
20260318162851      8   1320.0   1360.0    6.1    268.2   1711.6   1619.8   0.562
20260318162851    224    715.0    725.0   16.7    177.5   1865.3   1865.7   0.432
20260318162851    224    765.0    775.0   14.3    180.6   1872.7   1929.3   0.488
20260318162851    224    900.0    910.0    6.7    219.4   1787.2   1774.2   0.406
20260318162851    224   1020.0   1035.0    8.3    377.7   1952.0   1885.2   0.627
20250913074747    204    155.0    170.0    4.4    233.2   1570.2   1568.5   0.481
20250913074747    204    505.0    515.0    5.0    227.3   1570.5   1567.0   0.490
20250913074747    204    585.0    745.0    4.8    231.6   1571.2   1575.6   0.635
20250913074747    204    845.0    860.0    4.0    211.6   1575.4   1579.5   0.465
20250913074747    204    925.0    935.0    4.0    199.8   1571.7   1571.7   0.553
20250913074747    204    990.0   1000.0    4.0    215.2   1570.2   1563.8   0.407
20250913074747    204   1055.0   1345.0    4.2    238.8   1568.2   1561.3   0.601
20250913074747    204   1380.0   1480.0    4.3    260.3   1566.7   1560.7   0.644
20260327191417    155    535.0    555.0    5.0    172.4   1568.0   1564.2   0.432
20260327191417    155    600.0    610.0    4.5    217.9   1578.9   1569.4   0.411
20260327191417    253    685.0    995.0    4.0    464.0   2033.7   2005.4   0.803
20260327191417    253   1120.0   1130.0    4.0    325.6   2020.9   2034.7   0.546
20260324203601     29    355.0    440.0   14.7    427.8   1610.9   1609.5   0.605
20260324203601     29    480.0    490.0   12.5    311.5   1583.0   1573.2   0.589
20260324203601     29    565.0    595.0   10.9    426.3   1610.4   1608.8   0.505
20260324203601     29    710.0    720.0   16.7    417.3   1597.3   1592.7   0.401
20260324203601     29    780.0    850.0   17.1    359.8   1579.6   1587.5   0.438
20260324203601     30   1540.0   1550.0   16.7    261.0   1515.6   1527.1   0.432
20260324203601     30   1650.0   1715.0   19.9    277.9   1527.9   1530.8   0.618
20260324203601     68   1370.0   1380.0   16.7    228.6   1468.7   1468.8   0.517
20260324203601     68   1480.0   1500.0   14.3    190.5   1480.2   1478.5   0.495
20260324203601     68   1555.0   1655.0    4.5    288.1   1467.5   1472.5   0.545
20260324203601    151   1320.0   1330.0    4.2    294.1   1552.7   1491.0   0.458
20260324203601    164    830.0    840.0   16.7    273.9   1504.1   1378.0   0.488
20260324203601    164   1370.0   1485.0    9.7    241.2   1539.6   1529.4   0.611
20260324203601    164   1525.0   1590.0    7.0    233.3   1537.6   1543.0   0.551
20260324203601    164   1660.0   1735.0    5.8    225.9   1540.0   1542.0   0.529
20260324203601    175   1720.0   1775.0   13.7    347.6   1616.1   1520.5   0.584
20260324203601    182   1540.0   1680.0   15.6    223.5   1559.3   1557.4   0.793
20260324203601    182   1750.0   1795.0   12.2    188.4   1479.8   1559.6   0.517
20260324203601    217    540.0    850.0   15.5    188.0   1822.9   1756.3   0.894
20260324203601    217    935.0    965.0   14.3    229.7   1773.9   1942.7   0.824
20260324203601    217   1110.0   1120.0    6.7    165.4   1919.1   1717.7   0.476
20260324203601    217   1555.0   1565.0    4.8    138.8   1788.0   1832.2   0.437

========================================================================
  End of report
========================================================================
