========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-20 14:20:15
Folder:     D:/Data/Complete_Runs/HAK04-010A-02L64869w15-428C17a
Files:      29
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403154706_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403155223_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403162544_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403165905_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403173226_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403180548_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403183909_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403191231_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403194552_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403201914_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403205234_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403212557_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403215917_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403223235_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403230553_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403233913_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404001231_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404004553_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404011915_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404015237_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404022556_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404025917_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404033239_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404040602_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404043922_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404051243_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404054604_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404061925_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404065246_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 29
  Total segments detected:  93
  Files with detections:    17

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260403162544    111   1420.0   1570.0    4.7    290.8   1582.8   1591.9   0.697
20260403173226    184   1535.0   1555.0    4.5    191.9   1715.1   1721.7   0.598
20260403173226    191   1050.0   1105.0    4.3    194.3   1759.9   1770.0   0.442
20260403173226    191   1150.0   1160.0    4.2    190.7   1769.4   1768.3   0.472
20260403173226    191   1215.0   1240.0    4.0    202.9   1782.1   1780.1   0.445
20260403173226    191   1295.0   1410.0    4.2    223.4   1779.0   1795.1   0.569
20260403173226    191   1455.0   1500.0    4.0    205.3   1784.1   1796.2   0.545
20260403180548     37   1320.0   1330.0   16.7    180.4   1752.4   1666.6   0.479
20260403180548     47    400.0    545.0   14.2    259.9   1688.4   1689.1   0.647
20260403180548     47    605.0    630.0   11.1    313.6   1717.8   1695.8   0.747
20260403180548     47    670.0    720.0    5.2    333.8   1708.3   1735.0   0.716
20260403180548    181   1355.0   1395.0    7.0    343.4   1702.1   1705.7   0.570
20260403180548    181   1440.0   1450.0    6.7    235.2   1720.8   1706.3   0.448
20260403180548    248    535.0    565.0    8.0    164.1   2086.0   2101.0   0.520
20260403180548    248    700.0    750.0    4.9    179.4   2101.3   2103.2   0.522
20260403180548    248    845.0    860.0    4.2    154.7   2104.5   2115.6   0.517
20260403191231    248    900.0    910.0    4.8    108.9   2146.9   2143.1   0.431
20260403191231    248   1090.0   1125.0    5.8    106.4   2131.6   2128.2   0.495
20260403191231    248   1380.0   1390.0    4.5    110.0   2142.0   2142.3   0.460
20260403191231    248   1425.0   1490.0    4.7    120.1   2146.5   2135.3   0.596
20260403191231    248   1715.0   1730.0    4.7    102.5   2137.5   2143.6   0.490
20260403194552    108   1295.0   1335.0    9.8    258.2   1614.4   1660.6   0.544
20260403194552    146   1010.0   1090.0    7.9    155.6   1625.2   1626.2   0.506
20260403194552    206    490.0    610.0   14.2    366.0   1814.8   1825.3   0.738
20260403201914    227      5.0     15.0    4.0    166.5   1990.3   2008.1   0.404
20260403201914    227    110.0    120.0    4.8    166.1   2002.6   1998.5   0.420
20260403201914    227    365.0    405.0    4.9    173.3   2007.8   2004.3   0.459
20260403201914    227    525.0    535.0    5.3    179.6   2006.8   2009.5   0.448
20260403201914    227    570.0    595.0    4.8    171.3   2011.8   2007.5   0.484
20260403201914    227    640.0    785.0    6.1    167.9   2009.5   2017.9   0.573
20260403201914    227    825.0   1800.0    5.3    170.1   2000.7   1961.3   0.630
20260403205234    109    475.0    710.0    7.0    226.4   1637.0   1667.6   0.787
20260403205234    227    135.0    185.0    4.2    156.6   2053.4   2031.4   0.522
20260403205234    227    345.0    460.0    4.0    142.8   2045.8   2034.4   0.539
20260403205234    227    495.0    695.0    4.0    138.0   2034.8   2029.5   0.602
20260403205234    227    735.0    765.0    4.0    117.3   2025.9   2023.9   0.520
20260403212557     74    675.0    780.0   14.2    177.7   1775.0   1816.3   0.635
20260403212557     74    850.0    890.0   10.7    195.6   1844.0   1830.2   0.563
20260403212557     74    955.0    995.0   15.5    263.1   1816.3   1744.2   0.592
20260403212557     74   1100.0   1110.0   16.7    308.2   1821.8   1803.7   0.435
20260403212557     74   1170.0   1205.0   11.6    375.1   1806.5   1589.1   0.602
20260403223235    108   1450.0   1630.0    4.2    142.5   1818.5   1820.0   0.602
20260403223235    108   1670.0   1800.0    4.5    141.0   1818.4   1814.1   0.626
20260403233913    178    375.0    650.0   11.7    246.2   1760.9   1806.0   0.750
20260403233913    250    470.0    585.0   10.6    120.5   2226.9   2218.4   0.618
20260403233913    250    655.0    770.0   11.0    119.1   2217.4   2232.5   0.631
20260403233913    250    840.0    880.0   10.5    108.4   2237.6   2212.9   0.672
20260403233913    250    915.0    960.0    9.6    109.1   2207.3   2200.9   0.656
20260403233913    250   1010.0   1375.0    5.5    133.4   2203.7   2232.1   0.712
20260403233913    250   1450.0   1490.0    5.4    116.7   2230.8   2235.2   0.453
20260404001231    154   1015.0   1025.0    7.1    106.2   1851.4   1854.1   0.426
20260404001231    154   1105.0   1200.0    8.1    110.9   1850.1   1843.9   0.512
20260404001231    154   1235.0   1255.0    7.6    110.9   1856.7   1848.3   0.446
20260404001231    154   1335.0   1380.0    8.3    108.1   1845.0   1846.6   0.457
20260404001231    154   1740.0   1750.0    7.1    100.8   1847.2   1844.2   0.410
20260404004553     99    735.0    745.0   12.5    101.4   1777.1   1776.9   0.721
20260404004553     99    835.0   1270.0    4.2    130.9   1780.7   1815.2   0.671
20260404004553    154     55.0     65.0    4.2    115.2   1861.0   1860.2   0.411
20260404004553    154    205.0    215.0    4.0    114.9   1860.9   1865.4   0.401
20260404004553    154    255.0    265.0    4.5    119.0   1868.0   1870.3   0.446
20260404004553    154    345.0    355.0    4.3    121.7   1871.9   1872.6   0.417
20260404004553    154    390.0    405.0    5.3    131.2   1868.2   1866.0   0.440
20260404004553    154    515.0    525.0    4.8    122.9   1865.2   1865.3   0.402
20260404004553    154    585.0    600.0    4.8    126.3   1866.1   1866.5   0.404
20260404004553    154    765.0    775.0    5.6    127.8   1874.4   1876.2   0.409
20260404004553    154   1115.0   1210.0    5.4    126.8   1879.2   1879.7   0.477
20260404004553    154   1255.0   1350.0    6.0    121.1   1878.4   1879.3   0.537
20260404004553    154   1410.0   1420.0    6.2    108.2   1876.6   1875.4   0.423
20260404004553    154   1480.0   1505.0    6.5    115.3   1879.3   1881.3   0.493
