========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-20 13:42:11
Folder:     D:/Data2/Baseline_collection2/KAM02-041D-02L64869w10-215E28a/BASELINE_TDD_files
Files:      33
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024152458_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024153030_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024160406_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024163743_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024171119_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024174455_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024181831_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024185208_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024192544_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024195920_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024203257_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024210634_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024214011_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024221348_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024224724_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024232100_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251024235436_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025002811_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025010147_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025013522_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025020858_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025024234_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025031610_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025034947_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025042323_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025045702_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025053039_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025060417_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025063752_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025071127_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025074503_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025081838_Baseline.tdd
            - KAM02-041D-02L64869w10-215E28a-OhmX215-UNO256_215_20251025085215_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 29
  Total segments detected:  66
  Files with detections:    15

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20251024185208    241   1315.0   1365.0   20.0    289.5   1605.9   1608.6   0.654
20251024185208    241   1400.0   1540.0   19.9    338.1   1605.6   1609.1   0.542
20251024203257    152    640.0    780.0   11.6    364.5   1355.0   1390.1   0.562
20251024203257    152    820.0   1050.0   16.1    381.1   1384.1   1352.9   0.672
20251024203257    152   1145.0   1170.0   11.2    340.7   1364.6   1364.3   0.555
20251024203257    198    685.0    710.0   10.9    212.5   1429.1   1461.0   0.563
20251024203257    198   1385.0   1395.0    7.7    102.2   1421.5   1432.4   0.455
20251024203257    198   1485.0   1500.0    5.6    106.0   1420.3   1423.3   0.498
20251024203257    198   1545.0   1555.0    4.0    174.0   1405.6   1410.5   0.430
20251024210634     99    890.0    950.0    6.1    363.9   1296.4   1308.4   0.578
20251024210634     99   1345.0   1365.0    5.2    362.3   1320.3   1328.9   0.569
20251024210634     99   1485.0   1500.0    4.5    362.6   1323.9   1338.4   0.618
20251024210634    152    865.0    875.0    7.7    232.7   1345.1   1367.6   0.401
20251024214011    198    785.0    795.0   20.0    205.3   1454.9   1447.2   0.406
20251024214011    198    915.0    935.0   20.0    182.7   1445.5   1446.8   0.630
20251024214011    198    970.0    980.0   14.3    332.3   1444.1   1433.6   0.415
20251024214011    198   1030.0   1160.0   13.3    361.9   1439.4   1441.4   0.685
20251024214011    198   1395.0   1405.0    8.3    140.0   1437.0   1446.9   0.463
20251024214011    198   1495.0   1630.0    7.6    322.1   1440.8   1439.8   0.547
20251024214011    198   1670.0   1755.0    5.8    309.7   1373.8   1442.0   0.535
20251024221348    190    490.0    560.0   14.4    158.0   1490.1   1504.2   0.593
20251024221348    234   1645.0   1800.0   11.1    107.4   1780.4   1778.7   0.704
20251024224724    231    490.0    560.0    8.2    510.1   1700.7   1636.7   0.697
20251024224724    231    785.0    800.0    5.3    463.3   1656.0   1663.3   0.426
20251024224724    234     35.0     45.0   10.0    110.5   1781.6   1779.2   0.413
20251024224724    234    330.0    445.0    9.9    109.5   1795.0   1794.1   0.486
20251024224724    234    480.0    505.0   10.6    121.7   1799.0   1800.1   0.444
20251024224724    234    545.0   1800.0    7.8    136.0   1800.3   1815.3   0.742
20251024232100     77    500.0    510.0    5.0    256.1   1348.5   1311.5   0.444
20251024232100    231    705.0    790.0    4.4    392.2   1687.8   1694.5   0.542
20251024232100    231    835.0    860.0    4.6    429.7   1689.8   1702.5   0.611
20251024232100    234    795.0    810.0    5.3    137.3   1844.3   1843.1   0.438
20251024232100    234    865.0    880.0    5.0    143.1   1841.3   1847.5   0.457
20251024232100    234    915.0    935.0    5.3    126.7   1844.8   1847.5   0.479
20251024232100    234   1040.0   1500.0    4.5    132.1   1847.2   1853.5   0.575
20251024232100    234   1685.0   1750.0    4.2    128.7   1850.8   1860.9   0.514
20251024232100    234   1785.0   1795.0    4.2    117.2   1864.8   1841.5   0.440
20251024232100    255    720.0    930.0    5.7    535.9   1753.2   1760.6   0.722
20251024235436     99    570.0    580.0   20.0    311.4   1287.7   1179.9   0.420
20251024235436     99    665.0    720.0    9.5    307.0   1341.5   1327.7   0.428
20251024235436    194    780.0    790.0    5.0    327.1   1510.3   1301.7   0.403
20251024235436    194   1020.0   1040.0    4.0    314.1   1508.0   1518.3   0.418
20251024235436    197    225.0    315.0    5.8    198.0   1494.3   1520.3   0.504
20251024235436    198    895.0    905.0    6.7    319.5   1455.3   1405.5   0.604
20251024235436    231    210.0    285.0   16.8    257.9   1606.1   1613.0   0.604
20251024235436    231    450.0    655.0   10.6    445.2   1554.2   1323.3   0.599
20251024235436    231    905.0    975.0    5.6    515.2   1616.7   1627.2   0.730
20251024235436    255    430.0    445.0   17.1    373.9   1782.8   1759.4   0.556
20251024235436    255    795.0    880.0   11.3    479.6   1722.0   1622.7   0.562
