========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-20 14:27:17
Folder:     D:/Data/Complete_Runs/KSH01-010C-02L66628w01-428G16a
Files:      32
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172002_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172519_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406175840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406183158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406190520_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406193840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406201200_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406204522_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406211842_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406215203_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406222524_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406225845_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406233204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407000525_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407003844_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407011204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407014523_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407021843_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407025202_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407032521_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407035840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407043158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407050517_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407053836_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407061154_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407064513_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407071832_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407075150_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407082507_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407085825_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407093144_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407100504_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 29
  Total segments detected:  54
  Files with detections:    19

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406175840    237    815.0    835.0   12.5    238.0   1586.2   1605.6   0.444
20260406175840    237    875.0    955.0   14.3    260.7   1606.9   1608.3   0.580
20260406175840    237   1075.0   1090.0   16.7    294.0   1620.1   1616.0   0.522
20260406175840    237   1135.0   1800.0    4.2    384.3   1628.1   1611.1   0.691
20260406201200      7   1170.0   1190.0    4.5    354.4   1436.7   1431.0   0.487
20260406211842    108   1230.0   1240.0    4.0    331.1   1314.6   1340.2   0.490
20260406215203    175    455.0    495.0    6.2    301.1   1411.9   1425.1   0.452
20260406215203    247    600.0   1800.0    4.1    455.4   1699.1   1753.7   0.844
20260406222524    241    820.0    830.0    4.5    118.9   1715.4   1709.7   0.474
20260406222524    241    905.0    935.0    5.0    123.6   1709.3   1715.2   0.470
20260406222524    247    345.0    700.0    6.0    477.5   1695.3   1774.8   0.820
20260406233204     12      0.0     95.0    6.2    114.9      0.0   1532.5   0.535
20260406233204    105    395.0    405.0    4.8    365.6   1316.0   1323.0   0.469
20260406233204    121    240.0    615.0    5.5    256.5   1356.6   1395.0   0.687
20260406233204    121    745.0    760.0    4.1    228.4   1402.5   1395.7   0.460
20260407000525      6      5.0    140.0    4.0    129.4   1434.1   1462.0   0.734
20260407000525      6    360.0    370.0    4.0    113.0   1480.6   1478.8   0.515
20260407000525      6    415.0    425.0    4.0    115.0   1484.0   1482.4   0.501
20260407000525      6    555.0    565.0    4.0    124.6   1482.0   1487.9   0.552
20260407000525      6   1245.0   1260.0    4.0    123.5   1482.8   1477.1   0.536
20260407000525      7    675.0    715.0   17.1    119.5   1520.9   1519.2   0.542
20260407000525      7    750.0    765.0   16.7    275.1   1519.1   1521.2   0.643
20260407003844      6      0.0    365.0    4.0    190.8      0.0   1477.5   0.713
20260407003844      7      0.0     15.0    5.8    112.7      0.0   1586.5   0.667
20260407011204      6    950.0    960.0    4.0    121.1   1615.2   1611.0   0.428
20260407011204    191    270.0    280.0    4.2    308.0   1452.4   1465.9   0.455
20260407021843    255    800.0   1800.0   10.8    136.4   1769.0   1788.9   0.810
20260407025202    253    610.0    630.0   20.0    147.4   1783.7   1792.9   0.515
20260407025202    253    890.0   1800.0   11.8    303.4   1835.6   1841.6   0.692
20260407025202    255   1535.0   1690.0    4.3    119.1   1818.4   1812.3   0.568
20260407025202    255   1755.0   1790.0    4.2    119.4   1819.6   1806.9   0.569
20260407032521    239   1155.0   1800.0   10.6    161.1   1827.7   1824.3   0.866
20260407032521    253   1280.0   1310.0    9.1    106.2   1793.4   1791.8   0.509
20260407032521    253   1400.0   1800.0   12.4    154.0   1793.6   1823.8   0.856
20260407035840    239   1100.0   1110.0    4.0    124.4   1853.7   1824.3   0.414
20260407043158    253    570.0    610.0   20.0    224.5   1888.2   1888.7   0.595
20260407043158    253    645.0    655.0   16.7    217.3   1892.2   1890.7   0.462
20260407043158    253   1005.0   1020.0    8.3    354.7   1913.9   1744.6   0.488
20260407043158    253   1235.0   1245.0    4.2    294.4   1940.7   1766.8   0.600
20260407043158    253   1665.0   1675.0    4.2    240.8   1904.6   1898.0   0.415
20260407050517     17    410.0    575.0    4.5    138.5   1894.2   1898.6   0.561
20260407050517     17    665.0    745.0    4.8    127.9   1903.9   1903.0   0.605
20260407050517     17    815.0    855.0    5.2    124.6   1902.8   1907.9   0.518
