========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-20 14:36:22
Folder:     D:/Data/Complete_Runs/SBH01-008D-02L66628w02-237D09a
Files:      32
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160203_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160729_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327164053_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327171418_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327174739_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327182100_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327185426_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327192748_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327200114_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327203437_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327210758_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327214120_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327221443_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327224807_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327232130_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327235450_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328002814_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328010136_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328013456_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328020819_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328024142_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328031503_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328034824_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328042143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328045502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328052823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328060144_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328063502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328070823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328074143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328081501_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328084819_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 20
  Total segments detected:  45
  Files with detections:    13

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327171418     99   1010.0   1020.0   20.0    131.5   1472.3   1470.8   0.425
20260327171418     99   1055.0   1065.0   20.0    128.3   1475.9   1468.9   0.424
20260327171418     99   1250.0   1285.0   14.9    178.7   1456.1   1494.1   0.562
20260327182100     66   1280.0   1290.0    5.0    271.2   1521.5   1524.2   0.467
20260327185426     16    735.0    745.0    4.3    240.3   1606.8   1640.3   0.570
20260327185426    207    420.0    430.0    4.3    118.7   1739.2   1733.7   0.403
20260327192748     99    195.0    205.0   20.0    209.4   1480.6   1473.6   0.648
20260327192748     99    255.0    300.0   12.5    344.0   1482.2   1475.0   0.513
20260327192748    126    740.0    750.0    4.0    310.7   1481.2   1474.9   0.506
20260327192748    218    730.0    935.0    6.2    124.4   1958.3   1961.9   0.509
20260327192748    218    985.0   1800.0    4.8    140.2   1963.7   1954.5   0.663
20260327200114     56   1600.0   1615.0    4.2    226.8   1487.1   1401.7   0.444
20260327200114    231    465.0    595.0    7.7    133.3   1836.8   1856.4   0.559
20260327203437     99    310.0    355.0   14.7    200.7   1492.4   1486.8   0.765
20260327203437     99    415.0    435.0   14.3    170.1   1477.1   1503.8   0.541
20260327203437    231    540.0   1470.0    4.8    160.6   1862.3   1895.7   0.935
20260327203437    231   1515.0   1555.0   10.0    172.3   1926.0   1892.5   0.770
20260327203437    231   1675.0   1740.0   10.0    222.3   1889.2   1871.5   0.687
20260327203437    231   1775.0   1800.0    9.8    220.4   1877.8   1858.5   0.583
20260327210758     99    200.0    375.0    4.5    145.3   1482.6   1490.7   0.819
20260327210758     99    450.0    465.0    4.0    106.1   1529.7   1529.2   0.491
20260327210758    231    460.0   1095.0    6.1    151.8   1857.3   1853.5   0.846
20260327210758    231   1200.0   1210.0    7.1    155.9   1867.2   1857.6   0.407
20260327210758    231   1300.0   1740.0    5.2    184.3   1865.9   1875.5   0.832
20260327221443    241    715.0    725.0   20.0    338.1   1775.5   1922.6   0.490
20260327221443    241    865.0    880.0   20.0    221.1   1925.6   1910.0   0.529
20260327221443    241   1030.0   1195.0   16.8    280.5   1924.8   1959.1   0.702
20260327221443    241   1310.0   1355.0   20.0    382.5   1938.7   1930.3   0.553
20260327224807     94    310.0    320.0   20.0    288.5   1503.9   1505.2   0.494
20260327224807     94    460.0    475.0   16.7    379.6   1523.6   1521.4   0.440
20260327224807    241    820.0    870.0    7.4    177.0   1859.7   1858.5   0.635
20260327224807    241    940.0    960.0    7.2    160.8   1864.7   1867.1   0.507
20260327224807    241    995.0   1205.0    5.4    174.5   1868.0   1870.5   0.670
20260327224807    241   1255.0   1265.0    5.3    151.5   1879.1   1880.6   0.439
20260327224807    241   1305.0   1375.0    5.8    179.4   1880.0   1877.8   0.526
20260327224807    241   1425.0   1760.0    4.2    186.4   1879.3   1879.6   0.647
20260327232130    241    765.0    860.0    4.0    191.6   1980.2   1931.8   0.743
20260328034824     18    985.0    995.0    4.8    229.2   1750.4   1780.8   0.439
20260328045502     18    300.0    435.0    6.6    169.8   1753.1   1775.1   0.691
20260328081501    135    925.0    935.0   11.1    108.1   1720.5   1697.6   0.573
20260328081501    135   1085.0   1100.0    7.1    105.1   1694.9   1688.4   0.485
20260328081501    135   1170.0   1215.0    9.6    139.4   1691.4   1702.5   0.604
20260328081501    135   1315.0   1440.0   13.3    334.6   1699.4   1750.4   0.732
