========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 13:54:29
Folder:     D:/Data/Complete_Runs\HAK04-010A-02L64869w15-428C17a
Files:      29
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403154706_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403155223_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403162544_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403165905_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403173226_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403180548_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403183909_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403191231_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403194552_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403201914_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403205234_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403212557_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403215917_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403223235_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403230553_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260403233913_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404001231_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404004553_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404011915_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404015237_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404022556_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404025917_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404033239_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404040602_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404043922_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404051243_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404054604_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404061925_Baseline.tdd
            - HAK04-010A-02L64869w15-428C17a-OHX428-428_20260404065246_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 4202
  Total segments detected:  11598
  Files with detections:    29

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260403154706      2     10.0     40.0   20.0    243.9   1170.9   1166.5   0.769
20260403154706     16     75.0     95.0   20.0    323.8   1133.5   1134.2   0.846
20260403154706     37      0.0     30.0   20.0     31.0      0.0   1095.2   0.827
20260403154706     74     90.0    110.0   20.0    168.0   1052.8   1594.9   0.843
20260403154706     75     35.0     75.0   20.0    119.7   1034.2   1365.3   0.813
20260403154706    126      0.0    120.0   20.0     66.8      0.0      N/A   0.854
20260403154706    177     95.0    110.0   20.0     64.6   1097.5   1328.9   0.867
20260403154706    185     90.0    105.0   20.0     20.7    420.4    420.5   0.489
20260403154706    216     50.0     70.0   20.0     73.4   1184.1   1340.0   0.770
20260403154706    219    105.0    120.0   20.0    254.4   1191.7      N/A   0.830
20260403154706    251     30.0     50.0   20.0    390.5   1322.4   1319.7   0.836
20260403155223      1   1185.0   1200.0   20.0    103.5   1200.0   1200.4   0.740
20260403155223      3      0.0     10.0   20.0    220.9      0.0   1182.8   0.780
20260403155223      3    310.0    330.0   20.0    174.2   1178.4   1178.5   0.811
20260403155223      3    435.0    570.0   20.0    251.7   1176.6   1176.9   0.889
20260403155223      5   1455.0   1470.0   20.0    118.2   1196.8   1193.5   0.798
20260403155223      5   1605.0   1675.0   20.0    167.5   1196.8   1196.2   0.839
20260403155223      6    370.0    385.0   20.0    184.6   1178.1   1178.4   0.814
20260403155223      7   1215.0   1235.0   20.0     59.4   1180.2   1177.3   0.704
20260403155223      7   1590.0   1645.0   20.0     97.1   1177.8   1318.9   0.769
20260403155223      7   1745.0   1790.0   20.0     72.0   1296.5   1296.5   0.803
20260403155223      8    240.0    255.0   20.0     77.0   1177.5   1182.0   0.697
20260403155223      9   1420.0   1435.0   20.0    136.5   1172.8   1172.8   0.665
20260403155223     10   1735.0   1780.0   20.0     82.9   1168.9   1445.6   0.874
20260403155223     11     50.0     75.0   20.0    252.9   1166.8   1166.5   0.799
20260403155223     11    220.0    250.0   20.0    262.9   1163.4   1167.7   0.840
20260403155223     12    550.0    570.0   20.0    154.8   1172.2   1496.3   0.858
20260403155223     12    610.0    625.0   20.0     28.0   1492.0   1532.0   0.813
20260403155223     12    780.0    825.0   20.0     32.3   1550.8   1595.2   0.897
20260403155223     12    920.0    935.0   20.0     20.9   1610.4   1601.0   0.846
20260403155223     12   1080.0   1095.0   20.0     23.7   1595.8   1595.1   0.897
20260403155223     13   1425.0   1440.0   20.0     79.7   1169.9   1173.4   0.606
20260403155223     15      5.0     20.0   20.0    110.2   1166.2   1163.1   0.729
20260403155223     15   1105.0   1120.0   20.0    160.3   1158.1   1159.7   0.794
20260403155223     16    730.0    745.0   20.0    109.9   1157.5   1158.4   0.698
20260403155223     16   1275.0   1290.0   20.0     90.7   1165.9   1170.1   0.815
20260403155223     17    375.0    390.0   20.0     55.1   1193.6   1171.7   0.432
20260403155223     18    455.0    470.0   20.0     62.9   1153.9   1156.7   0.772
20260403155223     18    730.0    745.0   20.0    141.8   1155.0   1157.3   0.790
20260403155223     19   1465.0   1500.0   20.0    150.8   1150.8   1442.8   0.811
20260403155223     19   1545.0   1560.0   20.0     52.7   1441.1   1449.6   0.899
20260403155223     19   1625.0   1730.0   20.0     46.5   1477.1   1554.8   0.848
20260403155223     20    705.0    725.0   20.0     52.7   1148.4   1152.3   0.811
20260403155223     21    705.0    730.0   20.0    261.0   1138.8   1135.1   0.820
20260403155223     21   1510.0   1530.0   20.0    103.6   1133.3   1135.8   0.800
20260403155223     21   1570.0   1590.0   20.0    187.8   1135.9   1135.6   0.839
20260403155223     23   1010.0   1030.0   20.0    221.1   1153.2   1145.8   0.837
20260403155223     24    935.0    955.0   20.0     95.8   1138.3   1137.6   0.832
20260403155223     25   1260.0   1275.0   20.0     60.2   1170.7   1133.5   0.797
20260403155223     27     40.0     65.0   20.0    136.5   1133.9   1136.3   0.852
20260403155223     27   1060.0   1075.0   20.0     35.5   1155.7   1142.4   0.816
20260403155223     28    625.0    645.0   20.0    342.0   1130.0   1796.5   0.871
20260403155223     28    820.0   1115.0   20.0     61.0   1805.0   1855.6   0.882
20260403155223     28   1170.0   1325.0   20.0     63.8   1863.4   1860.1   0.879
20260403155223     28   1450.0   1465.0   20.0     41.1   1820.6   1869.2   0.634
20260403155223     28   1535.0   1550.0   20.0     40.7   1864.5   1828.6   0.687
20260403155223     28   1585.0   1600.0   20.0     28.9   1823.3   1811.4   0.818
20260403155223     28   1665.0   1675.0    0.7     45.5   1812.4   1860.5   0.634
20260403155223     28   1780.0   1800.0   20.0     22.8   1818.3   1814.3   0.908
20260403155223     29    590.0    675.0   20.0    116.2   1124.8   1413.6   0.830
20260403155223     29    740.0    755.0   20.0     26.4   1437.0   1456.8   0.811
20260403155223     29    885.0    900.0   20.0     29.1   1502.5   1524.5   0.804
20260403155223     29   1215.0   1230.0   20.0     25.5   1550.5   1545.8   0.761
20260403155223     29   1565.0   1580.0   20.0     25.9   1573.6   1587.7   0.893
20260403155223     31    455.0    500.0   20.0    171.5   1156.7   1155.2   0.770
20260403155223     31   1425.0   1435.0   20.0    123.4   1159.7   1158.9   0.668
20260403155223     32    225.0    240.0   20.0    138.1   1116.3   1115.5   0.602
20260403155223     32   1725.0   1745.0   20.0    120.7   1118.6   1119.3   0.783
20260403155223     34    415.0    430.0   20.0     76.8   1110.5   1109.5   0.673
20260403155223     42   1180.0   1280.0   20.0    350.0   1110.9   1110.9   0.813
20260403155223     42   1410.0   1425.0   20.0     43.9   1110.1   1107.5   0.699
20260403155223     44    450.0    465.0   20.0     64.5   1090.4   1092.1   0.714
