========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-21 17:00:26
Folder:     //quark/UsersNoBackup/step_noise_investigation/Complete_Runs\HAK04-010A-02L66628w06-433C13a
Files:      32
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327172453_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327173015_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327180357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327183739_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327191118_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327194458_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327201837_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327205216_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327212555_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327215937_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327223316_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327230655_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327234035_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328001414_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328004752_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328012131_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328015509_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328022846_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328030226_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328033606_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328040944_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328044322_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328051659_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328055038_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328062357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328065714_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328073032_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328080351_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328083710_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328091026_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328094345_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328101702_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 28
  Total segments detected:  77
  Files with detections:    18

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327180357    251    310.0    370.0   10.4    243.9   1997.6   1982.3   0.628
20260327191118    250   1215.0   1265.0    5.5    152.3   2122.7   2124.5   0.485
20260327191118    250   1315.0   1365.0    4.8    179.6   2121.7   2120.6   0.522
20260327194458    212    995.0   1160.0    8.9    544.4   1872.0   1878.7   0.773
20260327194458    212   1195.0   1430.0    5.0    468.1   1878.5   1865.9   0.727
20260327194458    212   1465.0   1565.0    4.2    481.7   1854.9   1843.8   0.696
20260327201837    139   1255.0   1430.0   20.0    111.5   1608.3   1579.0   0.801
20260327201837    139   1505.0   1520.0   16.7    101.8   1566.7   1560.7   0.739
20260327201837    139   1680.0   1800.0   11.1    107.8   1544.1   1523.0   0.685
20260327201837    212      5.0   1485.0    4.0    212.1   1902.4   1954.0   0.886
20260327201837    212   1525.0   1580.0    4.0    106.6   1941.4   1917.8   0.688
20260327205216    228   1045.0   1060.0    4.8    178.9   1821.8   1790.5   0.614
20260327205216    250    400.0    430.0   20.0    185.3   2185.0   2181.9   0.447
20260327205216    250   1075.0   1100.0   10.0    178.6   2188.3   2189.7   0.471
20260327205216    250   1135.0   1335.0    7.6    183.1   2185.6   2184.5   0.553
20260327205216    250   1400.0   1410.0    8.3    170.4   2190.3   2178.8   0.424
20260327205216    250   1510.0   1520.0    9.1    179.3   2177.9   2174.7   0.404
20260327212555     13   1480.0   1685.0   16.1    111.5   1722.5   1629.5   0.551
20260327212555     13   1740.0   1800.0   16.6    156.0   1617.7   1578.9   0.817
20260327212555    197   1695.0   1775.0    6.2    137.6   1700.2   1719.5   0.578
20260327215937    197    825.0    875.0   14.4    218.0   1783.7   1772.0   0.633
20260327215937    197    915.0    945.0   12.5    181.8   1782.8   1784.1   0.497
20260327215937    254   1405.0   1415.0    5.3    168.8   2401.0   2363.1   0.431
20260327223316    197    180.0    190.0    4.0    162.3   1833.9   1830.6   0.418
20260327223316    197    345.0   1365.0    4.1    184.9   1837.0   1896.3   0.785
20260327223316    197   1400.0   1425.0    4.2    191.5   1889.0   1887.9   0.609
20260327223316    197   1585.0   1605.0    5.2    220.6   1872.9   1861.2   0.539
20260327223316    197   1655.0   1685.0    4.5    207.9   1854.6   1848.1   0.518
20260327223316    197   1720.0   1775.0    4.1    208.6   1838.3   1829.1   0.572
20260327230655     70   1210.0   1225.0   20.0    264.3   1560.3   1523.4   0.720
20260327230655     79      0.0     15.0    4.7    112.6      0.0   1652.0   0.460
20260327230655     79     50.0     65.0    5.0    109.7   1652.1   1652.7   0.448
20260327230655     79    210.0    225.0    5.6    108.7   1661.8   1666.3   0.407
20260327230655     79    355.0    365.0    4.8    120.8   1684.6   1688.4   0.450
20260327230655     79    410.0    635.0    6.5    115.2   1684.5   1694.3   0.685
20260327234035     53    550.0   1490.0    4.2    251.0   1573.0   1520.1   0.787
20260327234035    179    835.0   1795.0    7.3    184.0   1691.8   1625.8   0.745
20260328001414     70    255.0    270.0    4.0    198.8   1637.5   1760.1   0.561
20260328001414     70    435.0    445.0    5.3    229.2   1767.1   1764.7   0.482
20260328001414     70    505.0    520.0    5.2    231.8   1751.2   1770.2   0.617
20260328001414     70    575.0    635.0    5.3    230.6   1773.4   1765.9   0.636
20260328001414     70    690.0    725.0    5.1    217.3   1781.7   1798.5   0.707
20260328001414     70    775.0    785.0    4.2    196.5   1776.3   1715.6   0.482
20260328004752     70    150.0    170.0    4.0    192.9   1825.2   1819.3   0.634
20260328004752     70    205.0    215.0    4.0    169.0   1827.0   1820.0   0.472
20260328004752     70    350.0    365.0    4.0    176.7   1795.7   1795.5   0.546
20260328004752    179      0.0     20.0    6.1    198.9      0.0   1781.9   0.575
20260328004752    179     95.0   1165.0    6.2    199.4   1767.3   1789.9   0.764
20260328004752    179   1210.0   1255.0    6.3    133.6   1782.3   1758.4   0.552
20260328004752    179   1350.0   1670.0    5.8    156.8   1792.8   1686.2   0.586
20260328004752    179   1745.0   1790.0    4.4    108.9   1682.8   1698.0   0.508
20260328004752    237    660.0   1800.0    9.3    198.5   2036.4   2020.6   0.860
20260328012131    179   1355.0   1365.0    4.0    153.8   1771.7   1780.7   0.443
20260328012131    179   1460.0   1600.0    4.5    163.5   1758.8   1743.9   0.602
20260328012131    179   1640.0   1675.0    4.1    137.1   1764.1   1757.7   0.459
