========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-21 17:15:04
Folder:     //quark/UsersNoBackup/step_noise_investigation/Complete_Runs\KSH01-010C-02L66628w01-433C27a
Files:      32
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406181855_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406182418_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406185738_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406193059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406200419_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406203741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406211101_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406214421_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406221741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406225102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406232422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406235743_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407003103_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407010425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407013744_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407021105_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407024425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407031745_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407035104_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407042423_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407045742_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407053102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407060422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407063741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407071100_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407074420_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407081739_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407085059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407092417_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407095735_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407103053_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407110411_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 22
  Total segments detected:  88
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406203741     93   1380.0   1395.0    4.4    177.8   1276.6   1285.6   0.437
20260406214421     81   1350.0   1380.0    7.4    299.2   1338.0   1346.1   0.478
20260406214421     81   1670.0   1680.0   10.0    223.1   1336.5   1256.1   0.630
20260406221741    211   1130.0   1140.0    4.0    121.1   1546.7   1557.0   0.441
20260406225102     68   1635.0   1665.0    5.2    149.9   1292.6   1273.4   0.618
20260406225102     68   1725.0   1800.0    5.5    146.2   1324.9   1270.2   0.562
20260406225102    211   1650.0   1800.0   14.2    271.8   1593.1   1566.1   0.688
20260406225102    243   1080.0   1175.0    4.6    131.3   1657.4   1672.0   0.681
20260406232422     71    975.0   1770.0    7.0    222.9   1370.9   1434.2   0.725
20260406235743    110   1550.0   1560.0    4.8    223.4   1375.3   1363.3   0.432
20260406235743    213   1245.0   1255.0    5.6    180.7   1488.7   1486.5   0.512
20260406235743    213   1360.0   1370.0    4.0    142.5   1429.6   1513.8   0.488
20260406235743    213   1450.0   1465.0    5.6    259.1   1511.7   1537.3   0.505
20260406235743    213   1535.0   1590.0    5.0    274.4   1529.8   1524.2   0.538
20260407003103     18    845.0    855.0    6.2    305.9   1503.9   1518.8   0.466
20260407003103     18    900.0    910.0    5.6    306.6   1483.5   1529.7   0.419
20260407003103     18   1055.0   1065.0    7.7    185.0   1556.6   1559.0   0.424
20260407003103     18   1250.0   1260.0    6.2    379.8   1559.1   1567.8   0.410
20260407003103     18   1395.0   1405.0    6.2    350.6   1557.1   1561.9   0.455
20260407003103     81   1195.0   1620.0    7.2    283.0   1380.7   1490.7   0.714
20260407003103     81   1675.0   1730.0    5.2    314.4   1518.8   1509.7   0.572
20260407003103    115    730.0    770.0    7.4    139.7   1329.5   1350.1   0.502
20260407003103    115    805.0    835.0    5.0    295.2   1295.4   1378.3   0.623
20260407003103    115   1015.0   1025.0    4.0    253.0   1382.5   1256.7   0.462
20260407003103    115   1110.0   1210.0    4.8    307.9   1374.0   1385.2   0.555
20260407003103    115   1275.0   1290.0    5.4    298.1   1336.4   1346.3   0.511
20260407003103    115   1765.0   1775.0    8.3    214.8   1305.7   1339.5   0.429
20260407010425     18    860.0   1005.0   10.1    334.1   1481.8   1465.8   0.680
20260407010425     18   1090.0   1120.0    8.0    309.7   1464.3   1478.4   0.600
20260407010425     18   1185.0   1780.0    4.0    324.9   1482.6   1494.6   0.690
20260407013744     18   1090.0   1100.0    4.2    268.1   1468.5   1458.7   0.483
20260407035104     18   1570.0   1580.0   10.0    282.0   1494.5   1490.0   0.410
20260407035104     18   1790.0   1800.0   11.1    259.8   1474.1   1473.2   0.522
20260407035104     53      0.0   1800.0    9.3    182.1      0.0   1419.0   0.751
20260407042423     53      0.0   1095.0   14.2    186.5      0.0   1423.6   0.724
20260407042423     53   1140.0   1285.0   14.2    154.5   1416.0   1414.8   0.528
20260407042423     53   1325.0   1800.0   12.2    151.7   1412.3   1391.5   0.589
20260407045742     53     10.0    100.0   13.5    184.6   1452.1   1447.2   0.511
20260407045742     53    170.0    220.0   11.2    172.2   1445.1   1442.8   0.533
20260407045742     53    345.0    355.0   12.5    180.0   1450.0   1438.4   0.410
20260407045742     53    465.0    550.0   11.8    178.5   1441.3   1435.2   0.497
20260407045742     53    680.0    740.0   11.8    171.5   1435.8   1435.2   0.458
20260407045742     53    805.0    815.0   11.1    176.3   1433.6   1437.3   0.429
