========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 14:03:39
Folder:     D:/Data/Complete_Runs\KSH01-010C-02L66628w01-433C27a
Files:      32
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406181855_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406182418_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406185738_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406193059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406200419_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406203741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406211101_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406214421_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406221741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406225102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406232422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406235743_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407003103_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407010425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407013744_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407021105_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407024425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407031745_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407035104_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407042423_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407045742_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407053102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407060422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407063741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407071100_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407074420_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407081739_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407085059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407092417_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407095735_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407103053_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407110411_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 3663
  Total segments detected:  8963
  Files with detections:    32

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406181855      6     80.0     95.0   20.0    100.7    956.7    955.9   0.774
20260406181855     27     35.0     50.0   20.0     93.8    904.0    901.9   0.753
20260406181855     66     95.0    110.0   20.0     31.1    836.1    930.1   0.767
20260406181855     76     15.0     70.0   20.0    119.4    824.3    823.2   0.752
20260406181855    129     15.0     30.0   20.0     59.6    825.0    822.8   0.782
20260406181855    134      0.0     15.0   20.0     62.9      0.0    833.4   0.760
20260406181855    167     10.0     25.0   20.0    103.8    883.0   1092.5   0.778
20260406181855    169    110.0    120.0   20.0     68.9    870.9    997.0   0.825
20260406181855    209     80.0    100.0   20.0    119.4    957.2   1152.0   0.905
20260406182418      1   1750.0   1775.0   20.0     83.8    958.7    953.9   0.809
20260406182418      7    910.0    955.0   20.0    117.4    936.7   1157.6   0.857
20260406182418     10   1275.0   1320.0   20.0     64.6    931.3    933.6   0.743
20260406182418     11      0.0     15.0   20.0     48.8      0.0    950.3   0.821
20260406182418     13   1020.0   1035.0   20.0     27.4    934.9   1035.0   0.832
20260406182418     13   1190.0   1215.0   20.0     88.0   1070.8   1004.3   0.838
20260406182418     13   1250.0   1265.0   20.0    368.0   1032.2    922.4   0.502
20260406182418     16    665.0    680.0   20.0     52.9    917.9    920.4   0.651
20260406182418     18   1090.0   1105.0   20.0     24.5    927.1    923.4   0.819
20260406182418     21   1405.0   1420.0   20.0     31.5    906.0    955.2   0.765
20260406182418     21   1670.0   1685.0   20.0     47.8    954.9    896.1   0.774
20260406182418     24   1090.0   1105.0   20.0     47.3    914.8   1002.1   0.740
20260406182418     24   1150.0   1165.0   20.0    127.1   1020.4    917.2   0.678
20260406182418     24   1230.0   1245.0   20.0     37.0    912.8    951.0   0.755
20260406182418     24   1320.0   1335.0   20.0     46.5    960.2    911.2   0.806
20260406182418     28    530.0    545.0   20.0     50.1    893.2    892.2   0.773
20260406182418     28   1435.0   1465.0   20.0    167.8    881.1    882.5   0.788
20260406182418     29   1175.0   1215.0   20.0     87.1    931.5   1040.1   0.735
20260406182418     29   1440.0   1455.0   20.0     57.4   1055.2   1107.2   0.581
20260406182418     29   1560.0   1575.0   20.0    139.3   1181.6    909.2   0.825
20260406182418     32    880.0    895.0   20.0     31.1    883.5    927.3   0.843
20260406182418     32   1095.0   1110.0   20.0     88.7    970.0    891.1   0.804
20260406182418     32   1320.0   1350.0   20.0    153.7    888.4   1137.5   0.804
20260406182418     32   1510.0   1525.0   20.0    444.2   1272.8    866.7   0.771
20260406182418     33    530.0    545.0   20.0     83.9    902.8    903.5   0.701
20260406182418     36    240.0    280.0   20.0     84.8    889.0    889.2   0.838
20260406182418     37   1035.0   1065.0   20.0    260.6    893.6    889.1   0.821
20260406182418     38    440.0    455.0   20.0     49.6    886.0    882.8   0.640
20260406182418     41    395.0    445.0   20.0     94.1    906.6   1161.6   0.898
20260406182418     41   1195.0   1215.0   20.0    208.9   1338.6    882.2   0.921
20260406182418     45    220.0    320.0   20.0    139.0    889.2    886.2   0.829
20260406182418     47    560.0    575.0   20.0     35.3    869.9    922.6   0.729
20260406182418     47    960.0    975.0   20.0     81.1    958.4    891.9   0.781
20260406182418     48    760.0    775.0   20.0     68.7    871.8    870.5   0.729
20260406182418     48    970.0   1010.0   20.0     39.2    868.0    972.2   0.831
20260406182418     49   1610.0   1660.0   20.0    257.4    864.3    861.6   0.813
20260406182418     50   1500.0   1530.0   20.0     35.2    856.0    855.8   0.877
20260406182418     53   1760.0   1775.0   20.0     36.6    859.3    934.6   0.781
20260406182418     55   1020.0   1035.0   20.0    102.5    868.2   1092.3   0.866
20260406182418     56   1170.0   1185.0   20.0     34.5    873.6    874.1   0.789
