========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-21 17:19:22
Folder:     //quark/UsersNoBackup/step_noise_investigation/Complete_Runs\KSH01-010E-02L66628w01-201H10a
Files:      32
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406172513_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406173030_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406180349_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406183710_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406191029_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406194348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406201708_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406205028_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406212348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406215706_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406223026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406230346_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406233705_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407001026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407004344_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407011703_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407015022_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407022342_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407025700_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407033020_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407040339_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407043658_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407051018_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407054337_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407061657_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407065014_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407072334_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407075652_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407083010_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407090329_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407093645_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407101002_Baseline.tdd

Parameters:
  Amplitude  >= 100.0 mV
  Frequency     4.0 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 28
  Total segments detected:  55
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406180349     26   1415.0   1425.0    7.7    128.4   1396.0   1397.8   0.426
20260406180349     26   1545.0   1680.0    5.3    230.7   1363.4   1462.9   0.693
20260406180349     36   1005.0   1800.0    6.3    300.0   1360.4   1369.0   0.741
20260406180349     37   1435.0   1445.0   11.1    179.8   1392.6   1377.3   0.404
20260406183710     26   1395.0   1410.0    5.9    154.5   1441.7   1363.9   0.588
20260406191029    170    945.0    960.0   14.3    134.9   1278.6   1283.6   0.522
20260406191029    170   1280.0   1295.0    8.3    260.0   1270.8   1294.4   0.577
20260406191029    188   1365.0   1525.0   11.8    243.4   1397.2   1354.1   0.775
20260406191029    188   1745.0   1760.0    4.3    192.1   1341.1   1343.9   0.465
20260406194348    134   1300.0   1355.0   15.9    376.6   1302.0   1321.8   0.600
20260406194348    170   1505.0   1545.0    9.8    103.0   1431.6   1422.7   0.524
20260406194348    170   1585.0   1685.0   14.5    212.3   1427.5   1453.9   0.570
20260406194348    170   1765.0   1790.0   12.5    139.0   1431.3   1467.4   0.589
20260406194348    188   1395.0   1650.0   11.1    208.0   1429.5   1353.3   0.791
20260406194348    188   1685.0   1800.0    9.7    202.0   1361.9   1365.4   0.768
20260406201708    253   1580.0   1800.0    5.0    282.2   1653.1   1585.4   0.753
20260406205028     80   1450.0   1500.0   18.4    139.2   1324.1   1317.2   0.560
20260406205028     80   1645.0   1760.0   10.2    318.6   1386.1   1353.4   0.649
20260406205028    109    595.0    625.0   18.8    157.1   1274.3   1276.3   0.530
20260406205028    161    500.0    515.0    5.3    134.6   1383.6   1386.8   0.471
20260406212348     26   1380.0   1440.0   15.5    175.1   1320.1   1325.2   0.589
20260406212348     26   1500.0   1800.0    6.7    227.1   1338.0   1393.1   0.696
20260406212348     37    825.0    835.0    4.0    187.6   1389.2   1391.8   0.420
20260406212348     37   1030.0   1100.0    4.2    224.1   1411.5   1416.5   0.545
20260406215706     26   1045.0   1160.0    6.6    361.8   1149.6   1373.7   0.647
20260406215706     26   1205.0   1270.0    5.4    268.8   1394.4   1419.1   0.651
20260406215706     26   1575.0   1600.0    4.0    253.8   1444.8   1428.3   0.590
20260406215706    134   1665.0   1675.0    4.0    102.6   1284.1   1284.3   0.403
20260406223026     26    715.0    725.0   16.7    210.9   1409.2   1432.1   0.439
20260406223026     26    765.0    775.0   20.0    146.1   1447.4   1373.7   0.545
20260406223026     26    890.0    930.0   10.6    150.1   1448.6   1384.7   0.762
20260406223026     80    980.0   1035.0   20.0    206.5   1359.6   1362.1   0.604
20260406223026     80   1080.0   1185.0   16.8    271.1   1356.5   1340.7   0.651
20260406230346     65    675.0    800.0   14.2    258.0   1333.9   1322.0   0.634
20260406230346     65   1305.0   1350.0   11.1    101.1   1304.9   1329.3   0.617
20260406230346     65   1445.0   1470.0   12.5    137.5   1333.9   1316.6   0.593
20260406230346     65   1585.0   1620.0   10.6    325.8   1303.6   1153.5   0.656
20260406230346     65   1725.0   1800.0    7.8    294.0   1156.1   1294.8   0.699
20260406230346    122   1570.0   1730.0   16.4    183.7   1418.9   1386.1   0.700
20260407001026     58   1500.0   1510.0    9.1    128.8   1375.5   1267.4   0.482
20260407011703     58    775.0    805.0    7.1    129.6   1500.6   1495.7   0.677
20260407011703     58   1230.0   1240.0    4.0    194.2   1509.4   1259.9   0.409
20260407011703     58   1310.0   1320.0    4.3    305.7   1354.6   1511.5   0.407
20260407011703     58   1400.0   1415.0    5.2    272.1   1513.2   1338.1   0.448
20260407011703     58   1530.0   1540.0    4.2    276.7   1350.3   1492.0   0.513
20260407015022     58    565.0    645.0    4.5    283.9   1381.1   1365.5   0.713
20260407022342     58    590.0    635.0    4.5    218.9   1377.4   1361.1   0.550
