========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-24 11:38:56
Folder:     D:/Data/Complete_Runs/HAK04-008B-02L64869w15-205B16a
Files:      32
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403154431_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403154950_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403162311_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403165630_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403172948_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403180307_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403183625_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403190945_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403194304_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403201624_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403204943_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403212301_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403215619_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403222940_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403230259_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403233619_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404000939_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404004257_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404011616_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404014933_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404022250_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404025609_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404032926_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404040242_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404043600_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404050917_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404054234_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404061552_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404064909_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404072227_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404075543_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404082859_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 19
  Total segments detected:  80
  Files with detections:    14

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260403183625    150   1540.0   1550.0   20.0     54.3    698.5    707.0   0.545
20260403190945    144    575.0    585.0   20.0     74.8   1571.4   1562.4   0.645
20260403190945    150     40.0     50.0   20.0     43.8    602.2    594.8   0.524
20260403190945    150    510.0    520.0   20.0     49.3    629.2    633.4   0.489
20260403190945    150    655.0    675.0   20.0     54.0    631.9    637.3   0.518
20260403190945    150   1115.0   1130.0   20.0     51.4    642.8    636.9   0.492
20260403190945    150   1240.0   1250.0   20.0     53.4    633.5    643.1   0.509
20260403190945    150   1485.0   1495.0   20.0     49.4    649.0    650.4   0.514
20260403190945    189    225.0    290.0   11.8    101.6   1755.5   1731.9   0.540
20260403194304    150    160.0    185.0   20.0     51.0    643.5    651.7   0.606
20260403194304    150    265.0    310.0   20.0     44.4    627.7    628.8   0.617
20260403194304    150    385.0    395.0   20.0     47.9    639.1    637.2   0.557
20260403194304    150    855.0    865.0   20.0     48.9    662.4    663.6   0.591
20260403194304    150    900.0    910.0   20.0     52.1    659.0    659.6   0.506
20260403194304    150   1025.0   1060.0   20.0     47.4    666.1    657.7   0.609
20260403194304    150   1120.0   1130.0   20.0     48.5    668.1    666.0   0.438
20260403194304    150   1225.0   1235.0   20.0     46.5    660.0    663.7   0.588
20260403194304    150   1270.0   1315.0   20.0     48.6    673.4    665.3   0.545
20260403194304    150   1535.0   1545.0   20.0     50.7    675.3    674.3   0.537
20260403201624    150    130.0    180.0   20.0     46.7    638.0    673.4   0.533
20260403201624    199    405.0    415.0   20.0     29.9   1307.7   1297.1   0.639
20260403201624    199    450.0    480.0   20.0     24.9   1304.0   1323.5   0.606
20260403201624    199    535.0    545.0   20.0     22.9   1314.9   1298.3   0.510
20260403204943     52    170.0    180.0    0.2     92.5   1755.4   1752.7   0.432
20260403230259    184    775.0    895.0   20.0     93.6   1939.5   1939.9   0.808
20260403230259    184    930.0   1035.0   20.0     94.1   1938.3   1936.4   0.728
20260403230259    184   1095.0   1110.0   11.2     95.9   1939.3   1937.8   0.626
20260403230259    184   1380.0   1425.0    6.8     84.0   1940.0   1942.2   0.672
20260403230259    184   1490.0   1505.0   20.0     85.8   1948.0   1948.3   0.703
20260403230259    184   1610.0   1635.0   20.0     80.6   1945.6   1944.2   0.794
20260403230259    184   1675.0   1685.0   20.0     84.1   1949.9   1951.9   0.806
20260403230259    184   1730.0   1785.0   20.0     90.2   1949.6   1952.0   0.820
20260404011616     64    430.0    440.0   20.0    133.4   1740.0   1737.7   0.776
20260404011616     64    475.0    535.0   20.0    134.0   1730.8   1718.2   0.774
20260404011616     64    590.0    690.0   20.0    139.3   1724.8   1717.8   0.736
20260404011616     64    725.0    780.0   20.0    140.6   1727.0   1720.5   0.740
20260404011616     64    825.0    920.0   20.0    137.9   1716.2   1705.8   0.739
20260404011616     64    960.0   1765.0   19.9    135.7   1666.7   1692.1   0.838
20260404011616    216   1530.0   1545.0    4.0    176.0   2145.9   2140.8   0.474
20260404011616    216   1610.0   1620.0    3.7    175.2   2142.9   2140.8   0.443
20260404014933    216    395.0    410.0    2.5    185.8   2147.6   2133.4   0.583
20260404014933    216    650.0    660.0    2.3    180.4   2139.2   2139.5   0.589
20260404014933    216   1095.0   1105.0   20.0    169.5   2132.7   2113.7   0.702
20260404014933    216   1160.0   1320.0   20.0    148.0   2124.5   2105.8   0.721
20260404014933    216   1380.0   1490.0   20.0    171.7   2113.1   2114.6   0.707
20260404014933    216   1550.0   1800.0   20.0    177.7   2113.6   2117.9   0.719
20260404022250    216     10.0   1210.0   20.0    199.4   2151.4   2153.0   0.810
20260404022250    216   1250.0   1285.0   20.0    164.7   2150.3   2152.0   0.705
20260404022250    216   1330.0   1545.0   20.0    179.0   2152.2   2153.9   0.759
20260404025609     48      5.0     85.0   20.0     23.6    358.9    340.0   0.524
20260404025609    216      0.0    390.0   20.0    273.2      0.0   2206.7   0.787
20260404025609    216    460.0    475.0   20.0    201.9   2206.4   2210.6   0.658
20260404025609    216    645.0    735.0   20.0    214.1   2205.1   2213.0   0.705
20260404025609    216    860.0    900.0   20.0    202.2   2199.1   2204.2   0.666
20260404025609    216   1580.0   1590.0   20.0    176.1   2187.1   2175.0   0.626
20260404025609    216   1790.0   1800.0   20.0    157.1   2171.2   2158.3   0.689
20260404032926    216      0.0    665.0   20.0    206.0      0.0   2202.3   0.805
20260404032926    216    705.0    715.0   20.0    186.9   2197.1   2205.5   0.697
20260404032926    216    750.0    855.0   20.0    185.7   2208.6   2204.6   0.731
20260404032926    216    950.0   1235.0   20.0    168.8   2184.8   2199.2   0.794
20260404032926    216   1300.0   1785.0   20.0    178.1   2186.7   2199.3   0.812
20260404040242    216      0.0    865.0   20.0    219.5      0.0   2211.8   0.848
20260404040242    216    900.0    945.0   20.0    193.4   2205.5   2214.0   0.796
20260404040242    216    985.0   1000.0   20.0    190.6   2206.7   2217.4   0.781
20260404040242    216   1040.0   1155.0   20.0    188.4   2214.8   2204.5   0.785
20260404040242    216   1320.0   1330.0   20.0    170.0   2192.6   2195.4   0.745
20260404040242    216   1400.0   1410.0   20.0    177.0   2197.9   2205.2   0.809
20260404040242    216   1460.0   1470.0   20.0    177.3   2197.8   2200.7   0.754
20260404040242    216   1540.0   1550.0   20.0    194.7   2204.6   2207.6   0.791
20260404040242    216   1710.0   1720.0   20.0    189.9   2206.1   2201.4   0.725
20260404043600    216    360.0    375.0   20.0    205.1   2253.1   2248.9   0.781
20260404043600    216    450.0    465.0   20.0    206.0   2248.0   2245.9   0.783
20260404043600    216    535.0    545.0   20.0    191.7   2243.2   2241.4   0.784
20260404043600    216    600.0    610.0   20.0    187.8   2242.8   2237.3   0.786
20260404043600    216    645.0    655.0   20.0    185.1   2241.8   2236.7   0.774
20260404043600    216    790.0    800.0   20.0    191.6   2239.5   2237.2   0.763
20260404043600    216    850.0    915.0   20.0    192.4   2239.4   2234.8   0.799
20260404043600    216   1520.0   1530.0   20.0    202.3   2241.4   2239.0   0.824
20260404043600    216   1685.0   1705.0   20.0    208.5   2245.4   2239.9   0.825
20260404064909    150   1095.0   1105.0   20.0     20.0    686.8    687.7   0.663

========================================================================
  End of report
========================================================================
