========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-05 15:23:18
Folder:     E:/Data/Complete_Runs/HAK04-008B-02L64869w15-205B16a
Files:      32
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403154431_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403154950_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403162311_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403165630_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403172948_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403180307_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403183625_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403190945_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403194304_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403201624_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403204943_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403212301_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403215619_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403222940_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403230259_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260403233619_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404000939_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404004257_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404011616_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404014933_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404022250_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404025609_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404032926_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404040242_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404043600_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404050917_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404054234_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404061552_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404064909_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404072227_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404075543_Baseline.tdd
            - HAK04-008B-02L64869w15-205B16a-OHMX205-UNO256_205_20260404082859_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 253
  Total segments detected:  408
  Files with detections:    32

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260403154431    150     15.0     30.0    1.4     60.0    510.6    514.6   0.000
20260403154950    150    395.0    425.0    4.8     54.9    471.8    469.6   0.000
20260403154950    150    575.0    585.0    4.7     50.1    485.2    484.0   0.000
20260403154950    150    620.0    655.0    3.8     60.9    487.1    477.7   0.000
20260403154950    150   1020.0   1305.0    3.5    109.3    467.4    456.1   0.000
20260403154950    150   1365.0   1380.0    4.8     52.4    446.4    448.8   0.000
20260403154950    150   1440.0   1795.0    4.8    105.5    446.9    446.2   0.000
20260403162311    150      0.0    470.0    4.9     83.3      0.0    458.5   0.000
20260403162311    150    515.0    550.0    4.9     54.4    458.0    458.5   0.000
20260403162311    150    745.0    760.0    1.1     81.1    475.7    475.0   0.000
20260403162311    150   1195.0   1205.0    2.6     50.8    484.9    490.7   0.000
20260403162311    150   1710.0   1740.0    1.6     54.0    534.4    555.8   0.000
20260403162311    150   1780.0   1795.0    2.5     50.3    549.1    554.2   0.000
20260403165630    150     20.0     60.0    1.9     59.2    544.1    545.7   0.000
20260403165630    150    215.0    250.0    1.1     82.2    574.5    575.6   0.000
20260403165630    150    315.0    330.0    1.1     50.1    560.2    559.1   0.000
20260403172948    150      0.0   1800.0    8.0    107.1      0.0    575.2   0.000
20260403180307    150      0.0   1800.0    7.6    125.4      0.0    625.4   0.000
20260403183625    150      0.0   1800.0    3.9    127.3      0.0    696.0   0.000
20260403190945    150      5.0     15.0    2.2     51.5    606.0    600.8   0.000
20260403190945    150     90.0    155.0    3.9     54.5    601.1    639.6   0.000
20260403190945    150    205.0    340.0    3.8     64.9    641.0    622.9   0.000
20260403190945    150    375.0    510.0    4.1     55.4    618.7    632.9   0.000
20260403190945    150    555.0    585.0    4.6     51.0    635.0    634.8   0.000
20260403190945    150    635.0    735.0    4.3     56.8    635.4    645.8   0.000
20260403190945    150    780.0    835.0    4.5     53.3    633.9    626.7   0.000
20260403190945    150    920.0    935.0    2.1    101.5    626.5    634.6   0.000
20260403190945    150   1055.0   1280.0    4.3     91.9    639.3    642.8   0.000
20260403190945    150   1355.0   1385.0    4.8     51.9    640.8    648.0   0.000
20260403190945    150   1425.0   1625.0    4.4     72.4    645.0    640.5   0.000
20260403190945    150   1665.0   1680.0    4.2     53.2    637.9    640.1   0.000
20260403190945    150   1750.0   1800.0    4.7     59.0    645.1    632.1   0.000
20260403194304    150    115.0    225.0    5.1     76.1    614.8    628.3   0.000
20260403194304    150    295.0    305.0    4.0     52.2    634.5    628.8   0.000
20260403194304    150    360.0    375.0    4.9     50.2    630.0    639.1   0.000
20260403194304    150    505.0    545.0    3.8     53.0    646.4    651.0   0.000
20260403194304    150    580.0    640.0    5.2     64.6    655.0    656.4   0.000
20260403194304    150    675.0   1075.0    4.4     71.6    651.8    664.7   0.000
20260403194304    150   1115.0   1135.0    5.4     52.6    658.0    666.0   0.000
20260403194304    150   1175.0   1185.0    4.6     50.0    664.5    659.9   0.000
20260403194304    150   1315.0   1450.0    3.8     78.6    668.6    668.1   0.000
20260403194304    150   1515.0   1675.0    4.5     53.5    671.2    660.9   0.000
20260403194304    150   1735.0   1800.0    4.2     53.1    665.4    661.4   0.000
20260403201624    150     85.0    205.0    4.5     61.8    623.9    649.7   0.000
20260403201624    150    255.0    265.0    4.5     52.4    660.1    650.0   0.000
20260403201624    150    305.0    440.0    1.9     62.5    638.8    659.7   0.000
20260403201624    150    615.0    755.0    1.6    113.0    666.0    666.5   0.000
20260403201624    150   1060.0   1075.0    2.0     51.8    656.9    656.3   0.000
20260403204943    150    220.0    235.0    1.1     78.9    640.0    639.7   0.000
20260403204943    150    973.0    985.0    1.3     59.7    663.6    659.2   0.000
