========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-15 16:50:35
Folder:     //quark/UsersNoBackup/step_noise_investigation/Original_Datasets/Full_data_set_stepnoise
Files:      1
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327191417_Baseline.tdd

Parameters:
  Amplitude  >= 5.0 mV
  Frequency     10.0 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 43
  Total segments detected:  103
  Files with detections:    1

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327191417      9    611.0    720.0   12.6      6.5   1088.7   1087.8   0.399
20260327191417     13      0.0    160.0   10.0      6.0      0.0   1413.2   0.225
20260327191417     13    609.0    733.0   13.1      7.8   1528.9   1526.3   0.386
20260327191417     13   1355.0   1409.0   11.1      5.4   1566.9   1573.3   0.228
20260327191417     13   1447.0   1525.0   11.8      5.7   1574.2   1576.5   0.236
20260327191417     13   1757.0   1795.0   12.5      5.7   1575.0   1575.8   0.209
20260327191417     15    280.0    305.0   13.9      5.3   1085.5   1085.8   0.273
20260327191417     15    470.0    494.0   11.2      6.2   1084.6   1082.2   0.243
20260327191417     15    595.0    611.0   14.3      5.8   1077.9   1079.8   0.257
20260327191417     15    660.0    945.0   11.1      6.6   1081.0   1080.4   0.500
20260327191417     15   1120.0   1134.0   11.1      5.2   1079.5   1078.8   0.221
20260327191417     53    170.0    184.0   11.1      5.1   1507.3   1572.1   0.202
20260327191417     61    465.0    475.0   12.5      5.3   1460.1   1460.8   0.250
20260327191417     61    590.0    701.0   13.8      5.9   1460.8   1468.7   0.386
20260327191417     61    760.0    804.0   10.1      5.5   1465.7   1466.5   0.528
20260327191417     61    845.0    860.0   13.4      5.5   1467.5   1464.1   0.297
20260327191417     57    695.0    719.0   11.8      6.7   1037.6   1044.7   0.459
20260327191417     57   1370.0   1386.0   11.1      5.2   1073.3   1071.2   0.222
20260327191417     57   1505.0   1525.0   11.1      6.2   1073.1   1071.6   0.247
20260327191417     76     95.0    105.0   12.5      5.0    973.1    972.7   0.228
20260327191417     86      1.0     22.0   11.1      5.5   1306.3   1282.4   0.271
20260327191417    103    468.0    494.0   12.5      6.5   1389.8   1395.6   0.250
20260327191417    103    632.0    933.0   10.8      7.4   1393.6   1408.5   0.542
20260327191417    125    876.0    890.0   11.1      5.6   1124.7   1130.0   0.204
20260327191417    124    180.0    230.0   11.4      5.9    975.5    976.6   0.236
20260327191417    124    610.0    698.0   13.4      6.2    974.6    975.4   0.347
20260327191417    124    795.0    865.0   11.2      5.5    977.4    975.2   0.401
20260327191417    136     14.0     52.0   11.1      6.4    980.1    977.6   0.233
20260327191417    136    591.0    695.0   12.4      5.9    977.7    979.1   0.359
20260327191417    136    789.0    815.0   10.0      5.7    978.6    979.1   0.357
20260327191417    136    890.0    900.0   11.1      5.2    979.7    978.1   0.217
20260327191417    136    998.0   1030.0   11.1      6.4    979.2    980.5   0.234
20260327191417    137    295.0    305.0   11.1      5.3    983.8    982.6   0.218
20260327191417    137    611.0    625.0   12.5      6.0    980.4    982.2   0.304
20260327191417    137    693.0    726.0   12.5      6.9    981.4    982.3   0.432
20260327191417    137   1502.0   1545.0   11.8      6.3   1032.3   1033.9   0.223
20260327191417    145    465.0    481.0   12.5      6.0   1354.1   1356.3   0.237
20260327191417    145    613.0    805.0   10.1      6.8   1355.5   1369.0   0.516
20260327191417    145    848.0    870.0   12.5      5.2   1368.5   1371.4   0.399
20260327191417    145   1015.0   1025.0   11.1      5.4   1380.3   1381.8   0.206
20260327191417    145   1170.0   1180.0   12.5      5.1   1385.6   1387.1   0.275
20260327191417    164    744.0    771.0   11.1      6.2   1008.7   1348.2   0.247
20260327191417    155    250.0    260.0   11.1      5.3   1491.3   1503.8   0.208
20260327191417    155    433.0    560.0   12.8     89.5   1533.0   1471.2   0.283
20260327191417    155    596.0    695.0   10.3     89.0   1490.1   1502.9   0.266
20260327191417    155    808.0    863.0   10.6     92.4   1415.3   1429.2   0.401
20260327191417    155   1790.0   1800.0   14.3      5.3   1502.0   1492.9   0.233
20260327191417    169    305.0    317.0   11.1      5.3   1020.3   1020.6   0.205
20260327191417    169    465.0    481.0   12.5      5.4   1019.8   1021.3   0.250
20260327191417    169    655.0    695.0   13.4      5.7   1022.0   1019.8   0.338
20260327191417    169    765.0    803.0   10.2      5.5   1020.0   1025.2   0.461
20260327191417    169    845.0    860.0   13.4      5.3   1019.9   1021.2   0.292
20260327191417    157    434.0    495.0   11.1      8.3    996.5    996.4   0.262
20260327191417    157    634.0   1025.0   11.1      8.4    995.2    998.8   0.515
20260327191417    157   1120.0   1138.0   11.1      5.7    998.9    993.8   0.243
20260327191417    157   1347.0   1369.0   11.1      5.4    999.8   1000.6   0.206
20260327191417    157   1632.0   1690.0   12.5      6.4   1000.9   1002.1   0.200
20260327191417    170    655.0    673.0   12.5      5.3   1015.6   1016.7   0.285
20260327191417    170    805.0    850.0   11.2      5.2   1018.7   1016.6   0.380
20260327191417    170   1005.0   1017.0   11.1      5.4   1019.3   1019.1   0.287
20260327191417    182     47.0     79.0   11.1      6.3   1044.8   1385.6   0.236
20260327191417    179    470.0    482.0   12.5      5.4   1102.7   1101.4   0.229
20260327191417    179    685.0    695.0   14.3      5.0   1109.8   1112.2   0.407
20260327191417    179    785.0    800.0   10.6      5.0   1121.5   1119.2   0.498
20260327191417    167    352.0    500.0   12.9      7.3   1018.1   1018.1   0.234
20260327191417    167    633.0   1034.0   11.1      8.0   1016.0   1020.4   0.545
20260327191417    167   1275.0   1287.0   12.5      6.0   1020.4   1021.3   0.208
20260327191417    183    660.0    670.0   12.5      5.0   1049.9   1050.8   0.287
20260327191417    181      1.0     38.0   12.5      6.2   1337.5   1424.3   0.317
20260327191417    181    142.0    195.0   11.1      5.5   1449.7   1035.0   0.263
20260327191417    181    655.0    695.0   13.1      5.3   1039.2   1035.8   0.301
20260327191417    181    765.0    790.0   10.3      5.3   1037.0   1039.4   0.422
20260327191417    177    225.0    315.0   20.0      5.8   1033.9   1033.2   0.246
20260327191417    177    437.0    571.0   12.7      6.2   1032.6   1034.7   0.221
20260327191417    187    680.0    695.0   13.4      6.0   1042.0   1042.6   0.500
20260327191417    199    370.0    380.0   12.5      5.0   1058.6   1057.3   0.249
20260327191417    197    361.0    375.0   12.5      5.1   1237.2   1260.0   0.275
20260327191417    203    235.0    277.0   16.7      8.8   1096.4   1099.1   0.223
20260327191417    203    645.0    685.0   11.8      7.9   1099.4   1453.0   0.293
20260327191417    189    263.0    334.0   14.6      5.5   1052.6   1050.0   0.304
20260327191417    189    449.0    534.0   12.6      6.8   1050.2   1052.6   0.271
20260327191417    189    634.0    954.0   11.1      7.8   1047.6   1050.4   0.488
20260327191417    189   1120.0   1134.0   11.1      5.2   1052.2   1054.2   0.239
20260327191417    208   1041.0   1055.0   11.1      5.0   1510.0   1534.6   0.217
20260327191417    214    144.0    160.0   11.1      5.9   1274.6   1312.2   0.208
20260327191417    211    634.0    700.0   12.5      5.3   1103.3   1105.6   0.289
20260327191417    211    780.0    795.0   10.6      5.3   1106.0   1107.4   0.469
20260327191417    211    880.0    895.0   10.6      5.3   1105.1   1104.9   0.287
20260327191417    225      0.0     30.0   10.0      7.0      0.0   1144.8   0.238
20260327191417    225    653.0    715.0   11.8      5.4   1142.1   1142.0   0.401
20260327191417    225   1370.0   1420.0   11.1      5.5   1143.4   1140.8   0.237
20260327191417    225   1465.0   1475.0   11.1      5.0   1142.7   1142.7   0.201
20260327191417    225   1510.0   1537.0   11.1      5.2   1140.8   1141.1   0.235
20260327191417    228    241.0    282.0   11.1      6.0   1394.5   1427.5   0.243
20260327191417    239   1019.0   1045.0   12.5      5.0   1206.9   1566.7   0.271
20260327191417    217      0.0   1801.0   13.4     11.7      0.0    462.9   0.335
20260327191417    244   1679.0   1705.0   11.1      5.2   1781.6   1775.4   0.231
20260327191417    247    655.0    675.0   12.5      7.3   1575.6   1596.4   0.203
20260327191417    250    287.0    343.0   11.1      8.4   1249.5   1737.4   0.230
20260327191417    255   1169.0   1267.0   11.1      5.9   1262.1   1662.5   0.206
20260327191417    256   1381.0   1405.0   12.5      6.3   1423.9   1595.4   0.259
20260327191417    253      0.0    495.0   14.8    333.0      0.0   1785.2   0.401
20260327191417    253    579.0   1801.0   12.0    446.6   1814.1   2001.6   0.677

========================================================================
  End of report
========================================================================
