========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 12:57:17
Folder:     E:/Data/Complete_Runs\HAK04-010A-02L66628w06-428E16a
Files:      31
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327172808_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327173328_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327180654_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327184036_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327191417_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327194800_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327202142_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327205502_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327212822_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327220141_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327223501_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327230821_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260327234141_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328001500_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328004820_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328012140_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328015500_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328022819_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328030139_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328033457_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328040816_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328044134_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328051452_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328054812_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328062131_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328065450_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328072808_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328080125_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328083441_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328090756_Baseline.tdd
            - HAK04-010A-02L66628w06-428E16a-OHX428-428_20260328094114_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 31
  Total segments detected:  46
  Files with detections:    14

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327191417     86   1351.0   1444.0   20.0     97.7   1470.5   1497.5   0.758
20260327191417    141    701.0    756.0   20.0     54.0   1494.9   1498.1   0.674
20260327191417    141    835.0    850.0   20.0     53.9   1498.5   1496.9   0.793
20260327191417    141    992.0   1183.0   20.0     59.1   1511.7   1523.6   0.814
20260327191417    141   1250.0   1273.0   20.0     50.8   1525.1   1521.0   0.782
20260327191417    155    403.0    560.0    4.2    179.5   1531.8   1471.2   0.301
20260327191417    155    718.0    730.0    2.7    239.6   1576.6   1377.6   0.243
20260327191417    155    808.0    845.0    0.9    218.6   1415.3   1517.1   0.287
20260327194800    155    384.0    969.0    4.8    242.0   1537.1   1521.9   0.480
20260327194800    155   1015.0   1050.0    5.8    275.2   1526.1   1594.7   0.376
20260327202142    155    569.0    595.0    5.5     60.7   1612.0   1628.8   0.258
20260327202142    155    639.0    810.0    3.6    220.4   1629.1   1581.4   0.400
20260327202142    155   1126.0   1212.0    3.9    122.5   1522.7   1548.6   0.435
20260327202142    155   1270.0   1360.0   20.0     74.2   1542.2   1593.1   0.870
20260327191417    253    579.0   1800.0    1.6    434.0   1814.1   2002.2   0.826
20260327194800    253    615.0    687.0    0.5     69.2   1853.5   1871.9   0.256
20260327194800    253    773.0   1800.0    4.6    454.8   1911.1   1831.9   0.794
20260327202142    253    492.0    843.0    2.6    212.1   2033.3   2001.4   0.805
20260327194800    204    620.0   1177.0   10.9    321.8   1716.0   1639.2   0.647
20260327194800    204   1216.0   1800.0   11.7    300.0   1639.5   1719.4   0.668
20260327194800    228    301.0    455.0    0.7     72.6   1733.7   1819.2   0.206
20260327202142     77    456.0    643.0   20.0     73.4   1463.8   1467.8   0.813
20260327202142    140    779.0   1473.0   14.2    457.9   1449.4   1114.9   0.767
20260327205502    140   1587.0   1800.0   20.0    103.1   1502.5   1526.6   0.861
20260327212822    142    585.0    595.0    1.5     51.3   1507.3   1511.6   0.204
20260327212822    214    693.0    755.0   17.5     71.1   1802.8   1789.9   0.495
20260327212822    214   1687.0   1800.0   20.0     99.1   1805.0   1816.0   0.780
20260327212822    221   1490.0   1555.0   12.9     71.4   1874.6   1879.8   0.340
20260327220141    221      0.0   1800.0    4.5    234.9      0.0   1983.8   0.489
20260327223501    221    540.0   1800.0    1.3    193.9   1853.7   1898.3   0.405
20260327212822    206    609.0   1800.0   20.0     85.9   1822.7   1798.2   0.899
20260327230821     57   1424.0   1505.0   20.0    104.4   1579.7   1595.2   0.820
20260328004820     57      0.0   1800.0    2.4    102.0      0.0   1629.0   0.634
20260327230821    127    227.0    263.0   11.0    249.7   1506.3   1469.7   0.259
20260327230821    127    402.0    688.0    0.6    450.3   1466.0   1287.3   0.200
20260327234141    111   1146.0   1800.0   20.0     83.2   1519.9   1546.4   0.849
20260327234141    184    507.0   1627.0    2.3    292.7   1615.3   1528.9   0.682
20260328001500    184    272.0   1800.0    4.6    137.4   1668.8   1751.0   0.764
20260328004820    184      0.0   1800.0    6.5     91.4      0.0   1741.9   0.794
20260327234141    255   1389.0   1471.0    1.1    107.2   1963.7   1961.5   0.299
20260327234141    255   1689.0   1728.0    0.5    119.7   1957.1   2059.8   0.337
