========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:09:42
Folder:     D:/Data/Complete_Runs\HAK04-010A-02L66628w06-433C13a
Files:      32
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327172453_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327173015_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327180357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327183739_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327191118_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327194458_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327201837_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327205216_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327212555_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327215937_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327223316_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327230655_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327234035_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328001414_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328004752_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328012131_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328015509_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328022846_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328030226_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328033606_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328040944_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328044322_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328051659_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328055038_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328062357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328065714_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328073032_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328080351_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328083710_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328091026_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328094345_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328101702_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 56
  Total segments detected:  183
  Files with detections:    20

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327180357    251    315.0    370.0   10.4    227.8   1985.0   1982.3   0.610
20260327191118    241   1345.0   1360.0   20.0     49.9   1927.0   1929.2   0.904
20260327191118    241   1510.0   1565.0   20.0     60.3   1915.8   1906.9   0.905
20260327191118    241   1645.0   1660.0   20.0     63.6   1906.6   1902.6   0.900
20260327191118    241   1765.0   1785.0   20.0     62.1   1893.2   1894.2   0.904
20260327191118    250    430.0    455.0   20.0    168.7   2068.4   2070.8   0.716
20260327191118    250    880.0    890.0   20.0     72.1   2069.7   2076.9   0.529
20260327191118    250    960.0   1010.0   20.0    100.8   2077.9   2090.5   0.605
20260327191118    250   1255.0   1265.0    5.6    124.9   2126.0   2124.5   0.411
20260327191118    250   1355.0   1365.0    4.8    169.3   2123.6   2120.6   0.415
20260327194458    212   1000.0   1160.0    9.2    526.2   1872.0   1878.7   0.754
20260327194458    212   1195.0   1210.0    8.3    488.1   1878.5   1874.5   0.444
20260327194458    212   1250.0   1380.0    5.9    454.7   1876.9   1867.0   0.667
20260327194458    212   1480.0   1520.0    5.0    496.2   1854.3   1846.4   0.661
20260327194458    250    840.0    875.0   20.0     81.3   1827.6   1845.3   0.824
20260327194458    250    910.0   1010.0   20.0    127.9   1844.0   1939.2   0.838
20260327201837      9   1200.0   1210.0   20.0     66.6   1811.9   1824.2   0.707
20260327201837    139   1030.0   1040.0   20.0     60.3   1601.0   1596.4   0.422
20260327201837    139   1125.0   1135.0   20.0     80.9   1603.3   1606.6   0.580
20260327201837    139   1180.0   1215.0   20.0     79.2   1605.9   1611.1   0.666
20260327201837    139   1255.0   1800.0   11.1    109.7   1608.3   1523.0   0.788
20260327201837    153   1445.0   1455.0   20.0     55.0   1604.8   1598.8   0.695
20260327201837    153   1495.0   1510.0   20.0     64.4   1600.2   1595.5   0.714
20260327201837    153   1545.0   1570.0   20.0     60.5   1585.6   1588.4   0.725
20260327201837    153   1650.0   1670.0   20.0     86.3   1587.3   1584.2   0.704
20260327201837    212      5.0   1800.0    3.2    211.8   1902.4   1889.8   0.884
20260327205216    139   1640.0   1650.0    3.3    130.5   1479.1   1482.5   0.409
20260327205216    153    315.0    325.0   20.0     56.3   1611.2   1610.8   0.842
20260327205216    153    405.0    445.0   20.0     57.5   1612.2   1618.2   0.836
20260327205216    153    480.0    495.0   20.0     57.9   1622.1   1623.9   0.844
20260327205216    153    555.0    610.0   20.0     58.8   1627.9   1632.3   0.850
20260327205216    153    655.0    670.0   20.0     67.9   1631.1   1634.2   0.837
20260327205216    153    735.0    955.0   20.0     79.9   1639.0   1646.2   0.861
20260327205216    153   1015.0   1090.0   20.0     66.8   1641.2   1642.9   0.827
20260327205216    153   1140.0   1250.0   20.0     63.5   1646.0   1648.3   0.822
20260327205216    153   1340.0   1370.0   20.0     54.8   1641.0   1640.7   0.836
20260327205216    181    220.0    315.0   20.0     70.2   1718.2   1719.0   0.855
20260327205216    181    390.0    440.0   20.0     73.0   1713.5   1732.0   0.831
20260327205216    181   1075.0   1130.0    4.0     85.1   1774.6   1779.4   0.563
20260327205216    181   1195.0   1265.0    2.9    103.8   1723.1   1775.1   0.631
20260327205216    212      0.0     20.0    3.0    180.2      0.0   1971.9   0.643
20260327205216    212    765.0    775.0    1.8     91.2   1997.8   1996.2   0.659
20260327205216    212   1395.0   1405.0    1.3     98.9   2010.1   2009.6   0.751
