========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:00:28
Folder:     E:/Data/Complete_Runs\HAK04-010A-02L66628w06-433C13a
Files:      32
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327172453_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327173015_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327180357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327183739_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327191118_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327194458_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327201837_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327205216_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327212555_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327215937_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327223316_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327230655_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260327234035_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328001414_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328004752_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328012131_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328015509_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328022846_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328030226_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328033606_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328040944_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328044322_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328051659_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328055038_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328062357_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328065714_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328073032_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328080351_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328083710_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328091026_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328094345_Baseline.tdd
            - HAK04-010A-02L66628w06-433C13a-OHMX433-433_20260328101702_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 60
  Total segments detected:  97
  Files with detections:    20

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327180357    251    267.0    414.0    9.6    227.8   1933.3   1961.1   0.610
20260327191118    241   1460.0   1567.0   20.0     60.3   1921.4   1906.9   0.905
20260327191118    241   1617.0   1800.0   20.0     63.6   1905.7   1888.2   0.904
20260327191118    250    228.0    599.0   18.8    168.7   1989.1   2055.2   0.716
20260327191118    250    768.0   1800.0    4.8    209.1   2062.4   2053.3   0.605
20260327194458    250    810.0   1052.0   20.0    127.9   1825.0   1980.1   0.838
20260327201837    250    739.0    933.0    0.7     89.0   1941.1   1959.8   0.207
20260327201837    250   1315.0   1389.0   20.0     70.5   1954.8   1959.8   0.563
20260327205216    250     87.0   1801.0    8.8    195.2   2043.7   2119.9   0.543
20260327212555    250      0.0   1800.0    0.6    114.6      0.0   2121.0   0.290
20260327215937    250    464.0   1800.0    1.0    123.8   2106.0   2181.7   0.400
20260327194458    178   1120.0   1643.0    3.1     87.6   1648.6   1611.2   0.276
20260327194458    178   1722.0   1799.0    0.8     64.6   1603.6   1592.1   0.291
20260327194458    212    828.0   1612.0    2.8    689.1   1789.6   1585.1   0.754
20260327201837    212      1.0   1800.0    3.2    211.8   1891.4   1889.8   0.884
20260327205216    212      0.0   1801.0    1.9    180.2      0.0   1891.2   0.751
20260327201837      9   1192.0   1218.0   20.0     66.6   1816.0   1819.3   0.707
20260327201837    139   1012.0   1800.0   11.1    109.7   1599.3   1523.0   0.788
20260327205216    139   1200.0   1545.0    2.5    144.9   1513.0   1432.3   0.393
20260327205216    139   1595.0   1800.0    2.5    130.5   1426.9   1454.1   0.409
20260327212555    139   1140.0   1230.0   16.8     56.6   1526.7   1529.6   0.632
20260327212555    139   1280.0   1799.0    6.8     73.2   1516.2   1439.1   0.700
20260327201837    153   1441.0   1800.0   20.0     86.3   1604.8   1558.9   0.725
20260327205216    153    293.0    436.0   20.0     57.5   1611.5   1614.8   0.842
20260327205216    153    474.0    511.0   20.0     57.9   1621.5   1622.6   0.844
20260327205216    153    543.0   1376.0   20.0     79.9   1628.7   1639.0   0.861
20260327201837    217    745.0    779.0    3.3     54.5   1789.0   1161.5   0.391
20260327201837    231      0.0    995.0    2.2    169.7      0.0   2220.6   0.256
20260327205216    176    893.0   1362.0    1.7    329.0   1613.3   1652.0   0.371
20260327205216    181    192.0   1155.0   12.0     87.6   1705.3   1723.1   0.855
20260327205216    181   1195.0   1269.0    2.9    103.8   1723.1   1722.5   0.631
20260327205216    228   1038.0   1068.0    4.8    178.4   1705.2   1725.3   0.589
20260327212555     13    987.0   1800.0   16.6    146.0   1804.7   1578.9   0.809
20260327223316     13   1000.0   1800.0    3.8     68.7   1738.2   1537.3   0.515
20260327230655     13     19.0     86.0   20.0     61.8   1776.1   1785.1   0.837
20260327230655     13    235.0    249.0   20.0     52.0   1785.9   1795.0   0.852
20260327230655     13    635.0    659.0   20.0     52.5   1795.5   1795.0   0.865
20260327230655     13    770.0    816.0   20.0     61.1   1799.7   1810.0   0.857
20260327230655     13   1160.0   1375.0   20.0     68.3   1799.6   1796.0   0.864
20260327230655     13   1444.0   1494.0   20.0     58.4   1787.3   1779.1   0.860
20260327230655     13   1539.0   1590.0   20.0     54.5   1772.6   1748.7   0.852
20260327230655     13   1643.0   1665.0   20.0     51.7   1710.7   1692.6   0.849
20260327212555    197    651.0    855.0    0.8     75.1   1695.6   1702.1   0.205
