========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:11:42
Folder:     D:/Data/Complete_Runs\KSH01-010C-02L66628w01-205E29a
Files:      19
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406171745_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406172302_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406175621_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406182942_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406190301_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406193621_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406200940_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406204259_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406211617_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406214937_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406222258_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406225618_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406232937_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407000256_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407003616_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407010935_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407014255_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407021613_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407024932_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 26
  Total segments detected:  68
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406172302     20   1050.0   1065.0   20.0    278.6   1418.8   1427.1   0.508
20260406172302     20   1100.0   1120.0   20.0    254.3   1427.9   1439.0   0.481
20260406172302     20   1195.0   1205.0   20.0    254.8   1433.3   1438.1   0.428
20260406172302     20   1255.0   1270.0   14.3    276.4   1422.9   1430.4   0.451
20260406172302     20   1315.0   1415.0   11.4    290.7   1420.6   1420.9   0.531
20260406172302    197    745.0    845.0   20.0    260.2   1434.9   1447.3   0.837
20260406175621     39    810.0    855.0   12.7    277.1   1299.7   1301.4   0.474
20260406175621     39    900.0    910.0   10.0    248.4   1300.1   1306.1   0.423
20260406175621    197    405.0    420.0   20.0    188.3   1419.1   1424.2   0.682
20260406182942    149    295.0    305.0    0.8    214.1   1236.3   1336.0   0.435
20260406182942    199   1290.0   1445.0   20.0     61.9   1473.2   1476.7   0.918
20260406182942    231    795.0    830.0   20.0     36.5   1595.5   1604.9   0.693
20260406190301    199   1315.0   1370.0   20.0     38.1   1499.8   1496.3   0.746
20260406190301    199   1745.0   1755.0   20.0     34.0   1516.2   1513.4   0.807
20260406193621     56      0.0     10.0   20.0     81.3      0.0   1349.8   0.632
20260406193621     56    220.0    230.0   20.0     59.1   1358.9   1357.1   0.786
20260406193621     56    335.0    360.0   20.0     68.9   1362.6   1362.2   0.672
20260406193621     56    485.0    660.0   20.0     65.4   1367.2   1368.6   0.723
20260406193621     56    775.0    865.0   20.0     53.4   1369.6   1372.8   0.755
20260406200940    134    655.0    675.0   20.0     92.5   1302.2   1300.1   0.790
20260406204259     68    290.0    300.0   14.3     77.7   1346.2   1359.7   0.521
20260406204259     68    420.0    440.0    9.7    202.3   1316.4   1410.5   0.441
20260406204259     68    480.0    490.0    9.1    196.6   1415.6   1407.9   0.457
20260406204259     68    605.0    615.0    6.7    104.1   1391.9   1378.8   0.533
20260406204259     73    450.0    470.0   12.2    141.0   1409.7   1427.5   0.598
20260406211617     66   1265.0   1280.0   20.0    124.1   1387.8   1375.8   0.849
20260406214937    160    760.0    775.0   10.6    113.5   1508.9   1501.1   0.594
20260406214937    160    875.0    925.0    4.3    378.5   1493.0   1504.3   0.581
20260406225618     43    495.0    510.0   20.0     62.9   1516.3   1525.2   0.495
20260406225618     43    545.0    700.0    7.1    180.0   1534.8   1531.5   0.801
20260406232937     61   1460.0   1480.0   20.0    162.7   1422.2   1444.3   0.745
20260406232937     71    260.0    315.0    8.0     88.4   1380.4   1405.5   0.571
20260407000256     61    450.0    460.0   16.7    148.8   1436.4   1472.9   0.534
20260407000256     61    495.0    510.0    8.3    229.7   1476.9   1511.8   0.577
20260407003616     61    310.0    420.0    6.7    147.4   1339.1   1365.7   0.732
