========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:01:58
Folder:     E:/Data/Complete_Runs\KSH01-010C-02L66628w01-205E29a
Files:      19
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406171745_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406172302_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406175621_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406182942_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406190301_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406193621_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406200940_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406204259_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406211617_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406214937_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406222258_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406225618_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260406232937_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407000256_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407003616_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407010935_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407014255_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407021613_Baseline.tdd
            - KSH01-010C-02L66628w01-205E29a-OHMX205-UNO256_205_20260407024932_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 33
  Total segments detected:  53
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406172302     20    531.0   1425.0   15.3    308.5   1339.1   1380.8   0.531
20260406175621     20    734.0    893.0    3.5    302.5   1394.2   1360.9   0.235
20260406182942     20    756.0    782.0    1.2    301.5   1434.1   1396.9   0.239
20260406172302    197    601.0   1279.0   20.0    260.2   1418.7   1440.0   0.837
20260406175621    197    203.0    599.0   10.3    225.4   1369.9   1438.3   0.682
20260406175621     39    514.0   1800.0    3.5    326.6   1280.2   1318.7   0.474
20260406182942    149    295.0    337.0    0.8    214.1   1236.3   1297.1   0.435
20260406182942    199   1319.0   1447.0   20.0     61.9   1464.6   1469.1   0.918
20260406193621     56      0.0     42.0   20.0     81.3      0.0   1348.5   0.632
20260406193621     56    206.0    230.0   20.0     59.1   1352.9   1357.1   0.786
20260406193621     56    305.0    671.0   20.0     68.9   1363.4   1369.9   0.723
20260406193621     56    775.0    817.0   20.0     53.4   1369.6   1370.2   0.746
20260406200940     73    450.0    460.0    0.6     50.9   1343.4   1353.6   0.210
20260406204259     73    270.0    518.0   11.4    141.0   1328.9   1414.5   0.598
20260406200940    134    599.0    699.0   17.6     95.0   1283.8   1301.7   0.790
20260406204259     68    255.0    644.0    7.8    213.7   1329.2   1373.7   0.533
20260406211617     66   1255.0   1380.0   20.0    124.1   1377.1   1389.6   0.849
20260406214937    160    745.0    784.0    7.9    113.5   1483.6   1493.6   0.594
20260406214937    160    859.0   1344.0    3.2    395.5   1498.4   1276.5   0.581
20260406225618     30    757.0    880.0   10.4    145.6   1463.6   1544.4   0.622
20260406225618     43    495.0    828.0    3.8    276.4   1516.3   1400.7   0.801
20260406232937     61   1438.0   1492.0   20.0    162.7   1394.8   1237.9   0.745
20260407000256     61    424.0    628.0    5.0    267.9   1415.5   1366.0   0.577
20260407003616     61    280.0    670.0    1.2    218.1   1315.6   1234.9   0.732
20260406232937     71    240.0    496.0    5.3    145.4   1374.6   1450.9   0.571
20260406232937    208    470.0    722.0    2.6     93.6   1541.5   1630.2   0.455
20260407003616    228   1130.0   1201.0   20.0     57.4   1674.1   1668.5   0.780
20260407003616    228   1239.0   1800.0   20.0     87.9   1682.6   1671.5   0.765
20260407010935    228      0.0   1756.0   20.0    136.9      0.0   1717.8   0.809
20260407010935    138    575.0    585.0    0.8     50.7   1540.9   1555.4   0.250
20260407010935    138   1111.0   1125.0    1.9     54.4   1556.9   1556.3   0.220
