========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:15:11
Folder:     D:/Data/Complete_Runs\KSH01-010C-02L66628w01-428G16a
Files:      32
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172002_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172519_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406175840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406183158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406190520_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406193840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406201200_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406204522_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406211842_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406215203_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406222524_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406225845_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406233204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407000525_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407003844_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407011204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407014523_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407021843_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407025202_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407032521_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407035840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407043158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407050517_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407053836_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407061154_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407064513_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407071832_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407075150_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407082507_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407085825_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407093144_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407100504_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 56
  Total segments detected:  156
  Files with detections:    21

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406172519    252    940.0   1135.0   20.0    169.0   1695.5   1774.3   0.849
20260406175840     91   1400.0   1445.0   20.0    290.1   1291.5   1286.8   0.643
20260406175840     91   1515.0   1620.0   20.0    314.5   1312.0   1288.6   0.850
20260406175840    237    815.0    835.0   12.5    220.8   1586.2   1605.6   0.438
20260406175840    237    875.0    885.0   14.3    228.0   1606.9   1611.9   0.492
20260406175840    237    935.0    955.0   14.3    254.8   1613.0   1608.3   0.571
20260406175840    237   1075.0   1085.0   16.7    275.7   1620.1   1616.0   0.499
20260406175840    237   1135.0   1740.0    4.8    354.8   1628.1   1637.6   0.658
20260406175840    237   1775.0   1800.0    4.0    370.2   1626.5   1611.1   0.499
20260406201200     59    615.0    840.0   20.0    147.0   1330.0   1349.6   0.869
20260406201200    137   1560.0   1570.0   20.0    180.1   1299.5   1291.7   0.658
20260406215203    175    455.0    465.0    6.7    280.9   1411.9   1417.7   0.411
20260406215203    193   1465.0   1475.0   20.0     50.3   1485.3   1488.2   0.816
20260406215203    193   1625.0   1715.0   19.9    350.8   1532.6   1470.1   0.753
20260406215203    193   1750.0   1775.0   20.0    286.7   1454.3   1542.5   0.788
20260406215203    233   1355.0   1365.0   20.0     50.7   1219.1   1230.2   0.441
20260406215203    247    600.0   1790.0    4.1    487.8   1699.1   1781.7   0.836
20260406222524     57    475.0    585.0   20.0    107.2   1376.5   1384.9   0.803
20260406222524    198    120.0    130.0   20.0     87.4   1542.0   1541.9   0.624
20260406222524    198    545.0    595.0   20.0     79.2   1565.0   1564.6   0.712
20260406222524    198    735.0    790.0   20.0     87.8   1562.3   1562.8   0.713
20260406222524    198    840.0    880.0   20.0     81.5   1562.3   1560.7   0.713
20260406222524    198    960.0   1445.0   20.0     99.3   1577.3   1567.1   0.750
20260406222524    198   1500.0   1510.0    3.2     85.3   1565.2   1564.9   0.440
20260406222524    198   1580.0   1635.0   20.0     99.2   1563.5   1566.6   0.684
20260406222524    198   1725.0   1735.0   20.0     90.9   1563.2   1562.7   0.625
20260406222524    198   1790.0   1800.0   20.0     91.9   1563.4   1561.6   0.637
20260406222524    241    545.0    555.0    4.2    133.6   1635.9   1659.4   0.451
20260406222524    241   1325.0   1335.0   20.0    128.2   1711.8   1709.1   0.641
20260406222524    241   1410.0   1420.0   20.0    119.0   1690.7   1702.1   0.685
20260406222524    241   1610.0   1680.0   20.0    133.1   1705.2   1696.0   0.828
20260406222524    241   1745.0   1760.0   20.0    124.1   1691.5   1693.6   0.846
20260406222524    247    345.0    810.0    1.9    495.4   1695.3   1783.4   0.816
20260406222524    247    945.0    970.0    0.9    425.0   1751.7   1802.4   0.558
20260406222524    247   1055.0   1075.0    0.6    407.9   1763.7   1761.0   0.577
20260406222524    247   1120.0   1155.0    0.6    409.4   1758.3   1760.8   0.576
20260406225845    143    605.0    615.0   20.0     36.7   1371.1   1368.9   0.796
20260406225845    143    885.0    910.0   20.0     43.1   1372.5   1376.7   0.736
20260406225845    143   1060.0   1070.0   20.0     36.9   1377.2   1379.9   0.730
20260406233204      6    295.0    470.0   20.0    285.4   1596.7   1622.9   0.719
20260406233204      6   1775.0   1785.0   20.0     47.1   1395.1   1388.1   0.785
20260406233204     12      0.0     20.0    6.1    107.9      0.0   1522.1   0.479
