========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:04:27
Folder:     E:/Data/Complete_Runs\KSH01-010C-02L66628w01-428G16a
Files:      32
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172002_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406172519_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406175840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406183158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406190520_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406193840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406201200_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406204522_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406211842_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406215203_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406222524_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406225845_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260406233204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407000525_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407003844_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407011204_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407014523_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407021843_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407025202_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407032521_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407035840_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407043158_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407050517_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407053836_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407061154_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407064513_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407071832_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407075150_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407082507_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407085825_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407093144_Baseline.tdd
            - KSH01-010C-02L66628w01-428G16a-OHX428-428_20260407100504_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 72
  Total segments detected:  117
  Files with detections:    26

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406172519    252    596.0   1137.0   20.0    169.0   1673.1   1501.7   0.849
20260406172519    252   1508.0   1772.0    5.9    447.6   1735.7   1834.2   0.218
20260406175840     91   1000.0   1800.0   20.0    314.5   1209.6   1250.0   0.850
20260406175840    237    510.0   1800.0    8.7    370.2   1535.0   1611.1   0.658
20260407071832    237   1359.0   1676.0   10.9    317.2   1688.6   1428.4   0.466
20260407085825    237    770.0   1800.0   16.8    106.2   1874.7   1879.8   0.355
20260407093144    237      0.0   1800.0    6.8    221.1      0.0   1852.9   0.782
20260406190520     27   1460.0   1618.0    1.8    284.5   1333.6   1289.9   0.205
20260406233204     27   1189.0   1800.0    3.2    249.7   1394.8   1281.6   0.266
20260406190520    161   1769.0   1799.0   20.0    138.5   1337.8   1384.2   0.610
20260406193840    233   1195.0   1210.0    1.4     54.4   1618.3   1616.9   0.236
20260406215203    233   1350.0   1395.0   20.0     54.7   1219.1   1215.4   0.441
20260406201200      7    790.0   1166.0    2.1    331.5   1421.2   1417.5   0.222
20260407000525      7    182.0   1153.0   17.4    196.7   1513.9   1468.5   0.632
20260407000525      7   1442.0   1527.0    4.6    459.4   1524.5   1544.5   0.691
20260407003844      7      0.0    550.0    4.0    116.4      0.0   1539.7   0.625
20260406201200     59    595.0   1344.0   20.0    147.0   1316.7   1206.6   0.869
20260406201200    137   1011.0   1233.0   20.0    216.4   1308.7   1152.9   0.604
20260406201200    137   1268.0   1290.0   20.0    265.9   1161.8   1093.5   0.605
20260406201200    137   1354.0   1620.0   20.0    251.7   1300.1   1276.3   0.658
20260406211842    137    271.0    770.0    8.2    187.6   1259.7   1301.9   0.416
20260406215203     57    609.0    820.0    2.8    261.9   1302.5   1367.2   0.282
20260406222524     57    266.0    639.0   20.0    107.2   1347.2   1322.3   0.803
20260406215203    175    304.0    345.0    0.9    343.6   1384.0   1400.7   0.270
20260406215203    175    391.0    599.0    2.0    318.0   1406.0   1456.8   0.411
20260406215203    193   1465.0   1475.0   20.0     50.3   1485.3   1488.2   0.816
20260406215203    193   1587.0   1797.0   19.9    350.8   1268.1   1536.4   0.788
20260406215203    247    595.0   1800.0    2.6    487.8   1699.7   1753.7   0.836
20260406222524    247    303.0   1798.0    0.8    509.4   1667.1   1623.1   0.816
20260406222524     16      1.0     72.0    1.1     76.5   1497.6   1518.3   0.262
20260406222524     16   1487.0   1800.0    3.0     70.8   1525.8   1511.2   0.395
20260407003844     16      1.0    821.0   20.0     81.2   1642.1   1643.0   0.747
20260406222524    198      0.0    277.0   20.0     90.3      0.0   1555.6   0.624
20260406222524    198    529.0    595.0   20.0     79.2   1565.5   1564.6   0.712
20260406222524    198    688.0    894.0   20.0     87.8   1564.9   1562.8   0.713
20260406222524    198    956.0   1800.0   19.9    101.0   1574.9   1561.6   0.750
20260406222524    224   1643.0   1736.0    1.4     60.4   1672.7   1671.9   0.261
20260406222524    241    291.0    560.0    4.2    152.0   1602.9   1617.4   0.451
20260406222524    241    694.0   1068.0    3.0    136.0   1602.0   1711.5   0.361
20260406222524    241   1286.0   1454.0   20.0    128.2   1697.0   1629.4   0.685
20260406222524    241   1602.0   1770.0   20.0    133.1   1629.1   1705.0   0.846
20260406225845     12   1580.0   1800.0    1.2     65.3   1518.9   1517.6   0.249
20260406233204     12      0.0   1566.0    1.5    107.9      0.0   1439.6   0.479
20260406233204     12   1690.0   1800.0   20.0     72.3   1420.9   1378.4   0.580
20260407000525     12      0.0   1076.0   15.4    124.2      0.0   1536.4   0.683
20260407000525     12   1184.0   1361.0   20.0     76.5   1548.9   1539.3   0.641
20260407000525     12   1647.0   1689.0   20.0     72.6   1527.8   1523.1   0.636
20260407003844     12      0.0   1361.0   15.2    105.5      0.0   1524.5   0.710
20260407011204     12      1.0    421.0   20.0     87.2   1574.5   1592.8   0.564
20260407011204     12    483.0    553.0   20.0     68.2   1581.4   1591.3   0.607
