========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:17:46
Folder:     D:/Data/Complete_Runs\KSH01-010C-02L66628w01-433C27a
Files:      32
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406181855_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406182418_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406185738_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406193059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406200419_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406203741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406211101_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406214421_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406221741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406225102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406232422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406235743_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407003103_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407010425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407013744_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407021105_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407024425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407031745_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407035104_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407042423_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407045742_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407053102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407060422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407063741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407071100_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407074420_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407081739_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407085059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407092417_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407095735_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407103053_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407110411_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 22
  Total segments detected:  84
  Files with detections:    14

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406225102     18   1670.0   1685.0   20.0     85.0   1383.5   1381.9   0.718
20260406225102     68   1640.0   1650.0    5.0    114.1   1292.9   1333.6   0.524
20260406225102     68   1730.0   1795.0    5.4    141.0   1328.9   1320.3   0.492
20260406225102    211   1655.0   1800.0   14.2    262.4   1594.0   1566.1   0.685
20260406225102    243   1005.0   1035.0    4.5     73.3   1622.5   1646.9   0.544
20260406225102    243   1080.0   1165.0    4.2    129.1   1657.4   1670.9   0.651
20260406225102    243   1660.0   1765.0   20.0     58.3   1663.2   1660.3   0.835
20260406232422     71    975.0   1665.0   10.4    200.0   1370.9   1408.6   0.720
20260406232422     71   1735.0   1770.0    7.0    186.2   1424.8   1434.2   0.407
20260406232422    191      0.0     60.0   20.0     87.4      0.0   1472.5   0.796
20260406235743    213   1545.0   1560.0    5.2    245.3   1526.2   1520.4   0.467
20260407003103     81   1215.0   1620.0    7.2    262.1   1408.2   1490.7   0.702
20260407003103    115    730.0    760.0    8.8    132.4   1329.5   1350.6   0.456
20260407003103    115   1130.0   1140.0    1.5    346.5   1163.6   1371.8   0.516
20260407003103    115   1235.0   1255.0   20.0    312.6   1336.0   1335.0   0.681
20260407003103    115   1335.0   1350.0   20.0    332.6   1389.9   1370.7   0.757
20260407003103    115   1765.0   1775.0    8.3    199.0   1305.7   1339.5   0.415
20260407003103    245    600.0    610.0   20.0     47.3   1662.6   1665.5   0.852
20260407003103    245    665.0   1025.0   20.0     95.0   1696.3   1706.1   0.848
20260407003103    245   1075.0   1085.0   20.0     85.6   1710.0   1728.7   0.833
20260407010425     18    860.0   1005.0   10.1    289.8   1481.8   1465.8   0.668
20260407010425     18   1090.0   1120.0    8.0    298.4   1464.3   1478.4   0.578
20260407010425     18   1185.0   1775.0    4.0    318.4   1482.6   1494.8   0.662
20260407010425    110   1575.0   1800.0   20.0     85.3   1300.7   1300.0   0.727
20260407013744     18   1030.0   1080.0   15.8    265.4   1483.5   1468.5   0.628
20260407013744     18   1175.0   1450.0    2.5    293.6   1426.4   1227.1   0.702
20260407013744     18   1545.0   1640.0    2.9    257.3   1211.2   1168.2   0.740
20260407013744     18   1690.0   1700.0    1.5    223.5   1156.1   1144.5   0.663
20260407013744     18   1745.0   1785.0   20.0    222.9   1126.7   1108.3   0.765
20260407035104     18   1230.0   1250.0   14.9     61.0   1469.7   1449.7   0.647
20260407035104     18   1490.0   1575.0   11.2     89.2   1455.0   1502.0   0.735
20260407035104     53      5.0   1800.0    9.1    169.7   1396.7   1419.0   0.744
20260407042423     53      0.0   1040.0   14.2    176.2      0.0   1414.0   0.712
20260407042423     53   1080.0   1090.0   14.3    128.2   1421.7   1416.1   0.442
20260407042423     53   1140.0   1285.0   14.2    138.9   1416.0   1414.8   0.522
20260407042423     53   1325.0   1795.0   11.9    132.6   1412.3   1394.1   0.582
20260407045742     53     10.0     95.0   12.7    165.0   1452.1   1446.8   0.502
20260407045742     53    170.0    215.0   11.4    167.4   1445.1   1441.1   0.526
20260407045742     53    345.0    355.0   12.5    159.1   1450.0   1438.4   0.402
20260407045742     53    465.0    550.0   11.9    160.2   1441.3   1435.2   0.491
20260407045742     53    680.0    740.0   11.8    152.0   1435.8   1435.2   0.447
20260407045742     53    805.0    815.0   11.1    156.6   1433.6   1437.3   0.421
20260407045742     53    935.0    945.0   12.5    150.5   1433.1   1433.9   0.424
