========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:06:48
Folder:     E:/Data/Complete_Runs\KSH01-010C-02L66628w01-433C27a
Files:      32
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406181855_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406182418_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406185738_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406193059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406200419_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406203741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406211101_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406214421_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406221741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406225102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406232422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260406235743_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407003103_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407010425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407013744_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407021105_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407024425_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407031745_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407035104_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407042423_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407045742_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407053102_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407060422_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407063741_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407071100_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407074420_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407081739_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407085059_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407092417_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407095735_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407103053_Baseline.tdd
            - KSH01-010C-02L66628w01-433C27a-OHMX433-433_20260407110411_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 36
  Total segments detected:  49
  Files with detections:    19

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406203741     93   1192.0   1277.0    9.6    275.3   1325.0   1249.3   0.390
20260406211101    211   1725.0   1749.0    0.7     52.1   1475.8   1490.1   0.251
20260406225102    211   1587.0   1800.0   14.2    283.6   1482.2   1566.1   0.685
20260406214421     40   1581.0   1619.0    0.9     94.5   1285.6   1317.1   0.249
20260407003103     40   1714.0   1800.0   11.1     99.2   1337.5   1338.2   0.207
20260406214421     81   1274.0   1800.0    6.2    333.1   1278.8   1328.4   0.460
20260407003103     81   1200.0   1704.0    3.7    306.6   1390.2   1370.5   0.702
20260406214421    220   1041.0   1131.0    6.0    185.8   1484.0   1532.4   0.280
20260406225102    220    278.0    414.0   20.0     90.7   1560.0   1559.8   0.312
20260406232422    220    280.0    495.0   20.0     79.0   1586.8   1617.7   0.378
20260406221741    127    958.0    987.0   11.1    145.4   1305.1   1258.3   0.309
20260406221741    163   1489.0   1583.0    2.2    288.9   1401.7   1340.3   0.223
20260406225102     18   1668.0   1685.0   20.0     85.0   1383.5   1381.9   0.718
20260407003103     18    897.0   1287.0    6.5    121.6   1457.9   1429.3   0.299
20260407010425     18    840.0   1800.0    3.9    347.5   1492.0   1490.1   0.668
20260407013744     18    791.0   1800.0    6.0    297.3   1393.9   1100.3   0.765
20260407035104     18   1216.0   1250.0   14.9     61.0   1453.4   1449.7   0.647
20260407035104     18   1490.0   1605.0   11.2     89.2   1455.0   1408.8   0.735
20260407035104     18   1675.0   1714.0    1.0    274.5   1469.3   1370.9   0.264
20260406225102     68   1575.0   1593.0    2.1    124.9   1291.6   1284.5   0.307
20260406225102     68   1640.0   1800.0    5.0    148.3   1292.9   1270.2   0.524
20260406225102    243    983.0   1385.0   12.1    132.7   1620.1   1655.4   0.651
20260406225102    243   1660.0   1765.0   20.0     58.3   1663.2   1660.3   0.835
20260406232422     71    917.0   1800.0    5.9    205.0   1299.4   1421.7   0.720
20260406232422    191      0.0     68.0   20.0     87.4      0.0   1473.4   0.796
20260406235743    110   1555.0   1629.0    1.9    251.8   1308.8   1318.2   0.283
20260406235743    110   1690.0   1720.0    1.9    242.0   1342.0   1280.1   0.247
20260407010425    110   1513.0   1800.0   20.0     85.3   1298.3   1300.0   0.727
20260406235743    213   1185.0   1201.0    1.1    200.5   1441.8   1434.2   0.267
20260406235743    213   1235.0   1249.0    2.2    185.6   1431.1   1414.9   0.281
20260406235743    213   1363.0   1626.0    2.6    257.8   1429.6   1483.0   0.467
20260407003103     58    372.0    411.0   20.0     76.9   1300.4   1284.8   0.372
20260407003103     58    550.0    566.0    2.4    405.1   1312.3    916.3   0.290
20260407003103    115    726.0    877.0    5.7    311.7   1326.6   1035.4   0.456
20260407003103    115   1130.0   1425.0   14.4    363.7   1163.6   1224.6   0.757
20260407003103    115   1760.0   1782.0    4.7    220.9   1182.2   1127.7   0.415
20260407003103    245    655.0   1337.0   20.0     95.0   1673.8   1697.8   0.848
20260407031745     53   1280.0   1295.0    9.1     52.3   1382.0   1373.5   0.293
20260407031745     53   1625.0   1650.0   12.5     51.9   1392.8   1396.6   0.401
20260407035104     53      0.0   1800.0    9.1    187.9      0.0   1419.0   0.744
20260407042423     53      0.0   1800.0   12.2    176.2      0.0   1391.5   0.712
20260407045742     53      1.0   1800.0   11.4    169.6   1452.1   1398.9   0.587
20260407053102     53      0.0   1800.0    9.1    196.5      0.0   1366.9   0.530
20260407060422     53      1.0   1800.0    8.6    195.4   1446.0   1373.8   0.638
20260407063741     53      0.0   1800.0    7.0    241.4      0.0   1377.9   0.548
20260407071100     53      0.0   1801.0    3.8    150.3      0.0      N/A   0.531
20260407074420     53      0.0   1003.0    6.8    126.6      0.0   1468.3   0.616
20260407074420     53   1100.0   1305.0   20.0     74.5   1472.2   1463.2   0.614
20260407074420     53   1400.0   1410.0   20.0     53.1   1458.6   1462.5   0.621

========================================================================
  End of report
========================================================================
