========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:20:52
Folder:     D:/Data/Complete_Runs\KSH01-010E-02L66628w01-201H10a
Files:      32
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406172513_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406173030_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406180349_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406183710_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406191029_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406194348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406201708_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406205028_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406212348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406215706_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406223026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406230346_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406233705_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407001026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407004344_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407011703_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407015022_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407022342_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407025700_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407033020_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407040339_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407043658_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407051018_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407054337_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407061657_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407065014_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407072334_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407075652_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407083010_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407090329_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407093645_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407101002_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 53
  Total segments detected:  123
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406180349     26   1550.0   1590.0    6.2    201.3   1364.2   1389.5   0.668
20260406180349     26   1665.0   1755.0    3.0    295.0   1396.8   1456.0   0.648
20260406180349     36   1005.0   1800.0    6.3    266.3   1360.4   1369.0   0.731
20260406180349     37   1440.0   1450.0   11.1    177.7   1388.8   1386.6   0.422
20260406183710     26   1620.0   1695.0   20.0    323.3   1395.7   1400.0   0.694
20260406183710     26   1770.0   1780.0   20.0    305.5   1397.2   1392.6   0.638
20260406183710    148   1425.0   1435.0   16.7    218.9   1293.8   1311.6   0.428
20260406191029    170   1280.0   1290.0    8.3    276.1   1270.8   1269.3   0.477
20260406191029    188   1400.0   1525.0   11.8    234.3   1387.4   1354.1   0.771
20260406191029    188   1750.0   1795.0    3.7    181.0   1344.8   1350.9   0.458
20260406194348     66    755.0    885.0   15.6     81.2   1385.4   1394.8   0.693
20260406194348     66    925.0   1055.0    8.1     90.6   1392.0   1408.6   0.585
20260406194348     66   1110.0   1120.0    5.6     85.4   1406.9   1410.1   0.511
20260406194348     66   1170.0   1285.0    5.3     92.4   1410.7   1414.0   0.470
20260406194348     66   1335.0   1410.0    3.8     97.1   1415.8   1414.7   0.413
20260406194348    134   1300.0   1355.0   16.9    344.1   1302.0   1321.8   0.581
20260406194348    170    915.0   1005.0   16.9     93.1   1369.3   1416.2   0.591
20260406194348    170   1050.0   1150.0   15.7     97.0   1413.5   1419.0   0.527
20260406194348    170   1470.0   1685.0   14.5    206.2   1421.9   1453.9   0.578
20260406194348    170   1765.0   1790.0   12.5    138.7   1431.3   1467.4   0.591
20260406194348    188   1395.0   1420.0   12.2    198.6   1429.5   1428.1   0.595
20260406194348    188   1475.0   1530.0   11.6    198.2   1431.9   1430.3   0.778
20260406194348    188   1570.0   1645.0   10.9    200.1   1428.9   1337.8   0.780
20260406194348    188   1685.0   1800.0    9.7    192.7   1361.9   1365.4   0.750
20260406201708     17    290.0    315.0   20.0     91.5   1511.5   1518.4   0.835
20260406201708     36   1340.0   1355.0   20.0     35.2   1450.4   1433.6   0.767
20260406201708     36   1465.0   1475.0   20.0     27.9   1433.7   1432.5   0.825
20260406201708     36   1600.0   1610.0   20.0     28.6   1443.5   1439.9   0.801
20260406201708     36   1655.0   1665.0   20.0     31.0   1440.7   1440.2   0.790
20260406201708     66      5.0     25.0   14.3     80.8   1370.9   1380.2   0.442
20260406201708     66    240.0    295.0   10.0     81.2   1390.2   1397.3   0.438
20260406201708     66    585.0    860.0    5.3    104.2   1412.4   1425.4   0.524
20260406201708     66    960.0   1065.0    3.4    101.0   1430.8   1437.8   0.472
20260406201708     66   1170.0   1180.0    3.2     90.4   1429.7   1429.0   0.443
20260406201708     66   1490.0   1500.0    2.2    111.1   1460.1   1458.6   0.410
20260406201708     66   1785.0   1795.0    1.0    118.4   1460.4   1461.2   0.486
20260406201708    170   1045.0   1060.0   20.0     88.5   1323.9   1330.6   0.685
20260406201708    207    890.0   1085.0    9.6     39.4    942.1    952.5   0.743
20260406201708    253   1620.0   1800.0    5.1    288.8   1602.0   1585.4   0.737
20260406205028     66   1005.0   1015.0    1.2     98.0   1445.3   1449.2   0.489
20260406205028     66   1080.0   1115.0    1.3     96.3   1451.2   1466.8   0.481
20260406205028     66   1155.0   1165.0    1.7     93.5   1450.4   1456.0   0.548
20260406205028     66   1465.0   1475.0    1.6     91.4   1460.4   1459.0   0.472
20260406205028     80   1450.0   1500.0   18.4    132.6   1324.1   1317.2   0.541
20260406205028     80   1660.0   1760.0   10.2    291.6   1363.6   1353.4   0.636
20260406205028    101    345.0    355.0   20.0     53.7   1302.7   1307.7   0.610
