========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:09:07
Folder:     E:/Data/Complete_Runs\KSH01-010E-02L66628w01-201H10a
Files:      32
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406172513_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406173030_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406180349_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406183710_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406191029_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406194348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406201708_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406205028_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406212348_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406215706_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406223026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406230346_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260406233705_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407001026_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407004344_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407011703_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407015022_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407022342_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407025700_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407033020_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407040339_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407043658_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407051018_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407054337_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407061657_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407065014_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407072334_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407075652_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407083010_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407090329_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407093645_Baseline.tdd
            - KSH01-010E-02L66628w01-201H10a-OHMX201-UNO256_201_20260407101002_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 63
  Total segments detected:  100
  Files with detections:    18

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406173030     37   1170.0   1800.0   10.4    190.6   1399.3   1444.5   0.374
20260406180349     37   1011.0   1350.0   20.0    145.4   1323.6   1364.1   0.331
20260406180349     37   1401.0   1636.0    6.0    177.7   1367.8   1358.6   0.422
20260406212348     37    841.0   1797.0   15.7    224.3   1385.7   1397.5   0.684
20260406180349     26   1411.0   1455.0    7.1    113.9   1380.9   1368.6   0.358
20260406180349     26   1550.0   1801.0    3.0    299.0   1364.2      N/A   0.668
20260406183710     26   1375.0   1395.0    6.0    128.3   1371.1   1448.3   0.392
20260406183710     26   1558.0   1800.0   20.0    323.3   1355.7   1380.3   0.694
20260406212348     26   1385.0   1434.0   14.6    180.0   1320.1   1325.2   0.577
20260406212348     26   1490.0   1800.0    6.7    232.9   1316.4   1393.1   0.690
20260406215706     26    925.0    969.0    3.5    237.7   1372.5   1184.9   0.259
20260406215706     26   1045.0   1285.0    4.0    359.3   1149.6   1361.3   0.630
20260406215706     26   1390.0   1410.0    3.9    223.9   1371.1   1362.8   0.342
20260406215706     26   1565.0   1739.0    1.6    266.1   1390.4   1388.1   0.675
20260406223026     26    689.0    752.0   18.4    231.7   1383.4   1377.4   0.446
20260406223026     26    850.0    895.0   12.7    149.4   1397.6   1397.9   0.410
20260406233705     26    417.0    505.0   15.8     76.8   1407.9   1429.5   0.576
20260407001026     26    296.0    420.0   12.8     71.0   1404.8   1426.0   0.580
20260406180349     36    869.0   1800.0    6.3    266.3   1369.9   1369.0   0.731
20260406183710     40   1450.0   1471.0   20.0    102.2   1348.8   1313.6   0.253
20260406191029     40    631.0    769.0    0.8     98.6   1419.7   1374.4   0.284
20260406191029     40    800.0    812.0   20.0    116.7   1349.0   1332.6   0.556
20260406183710     99   1112.0   1277.0    0.8    108.3   1275.1   1115.1   0.272
20260406183710    148   1055.0   1187.0    1.3    154.6   1233.9   1229.3   0.207
20260406183710    148   1236.0   1321.0   19.2    412.7   1241.6   1282.6   0.449
20260406183710    148   1410.0   1799.0   19.9    271.4   1268.1   1290.6   0.428
20260406183710    176    510.0    530.0    1.0    144.4   1338.4   1439.5   0.213
20260406183710    176    614.0    666.0   12.5    187.2   1322.7   1422.7   0.220
20260406183710    202   1564.0   1678.0   11.1    128.8   1321.8   1325.7   0.235
20260406191029    162   1717.0   1799.0    4.2    368.9   1348.5   1356.8   0.307
20260406191029    170   1280.0   1290.0    8.3    276.1   1270.8   1269.3   0.477
20260406194348    170    865.0    875.0    2.9     66.0   1376.9   1325.3   0.216
20260406194348    170    915.0   1800.0    8.9    257.6   1369.3   1415.3   0.591
20260406201708    170   1005.0   1070.0   20.0     88.5   1321.2   1202.7   0.685
20260406212348    170    586.0   1800.0    7.2    123.2   1266.9   1337.5   0.816
20260406215706    170   1190.0   1800.0    3.3     84.6   1361.9   1376.2   0.694
20260406191029    188   1350.0   1800.0    3.3    239.0   1268.8   1339.9   0.771
20260406194348    188   1097.0   1645.0    8.2    213.3   1332.8   1337.8   0.780
20260406194348    188   1685.0   1800.0    9.7    192.7   1361.9   1365.4   0.750
20260406194348     66    577.0   1799.0    1.2    115.2   1388.3   1434.0   0.693
20260406201708     66      0.0   1800.0    3.5    122.0      0.0   1368.4   0.524
20260406205028     66    815.0   1800.0    1.5    102.8   1460.6   1460.2   0.548
20260406212348     66    947.0   1800.0   20.0     69.5   1411.7   1425.8   0.866
20260406194348    109    862.0    963.0    3.6    181.0   1243.0   1223.5   0.321
20260406205028    109    420.0    442.0    1.4     78.2   1234.0   1259.3   0.216
20260406205028    109    547.0    653.0   16.9    145.8   1269.0   1271.2   0.496
20260406230346    109    613.0   1364.0   15.4    102.6   1282.5   1342.3   0.853
