========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:23:16
Folder:     D:/Data/Complete_Runs\KSH01-010E-02L66628w01-215B14a
Files:      32
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406182227_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406182748_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406190109_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406193429_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406200750_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406204109_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406211428_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406214749_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406222111_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406225431_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260406232750_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407000109_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407003430_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407010751_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407014110_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407021429_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407024750_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407032109_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407035427_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407042747_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407050109_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407053428_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407060746_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407064106_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407071424_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407074744_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407082102_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407085419_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407092735_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407100051_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407103408_Baseline.tdd
            - KSH01-010E-02L66628w01-215B14a-OHMX215-UNO256_215_20260407110724_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 20
  Total segments detected:  54
  Files with detections:    9

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406222111    124    565.0    575.0   20.0     34.7   1310.4   1313.3   0.852
20260406232750     85    585.0    600.0   20.0     48.6   1362.7   1358.6   0.907
20260407000109    209    615.0    625.0    2.3    326.2   1502.9   1499.8   0.579
20260407000109    241   1575.0   1800.0   10.3    133.4   1731.8   1723.1   0.869
20260407000109    252    125.0    755.0   16.8    187.8   1820.3   1836.9   0.811
20260407000109    252    885.0    895.0   16.7    163.5   1835.1   1836.0   0.446
20260407000109    252    965.0   1785.0    8.7    172.3   1834.0   1844.5   0.624
20260407003430     79   1150.0   1360.0   20.0     97.3   1446.5   1407.8   0.855
20260407003430     79   1480.0   1565.0   20.0     54.8   1416.1   1418.5   0.669
20260407003430    164      0.0    105.0   20.0     50.0      0.0   1474.3   0.776
20260407003430    164    145.0    160.0   20.0     35.3   1476.5   1486.7   0.812
20260407003430    164    475.0    485.0   20.0     34.1   1493.0   1496.0   0.881
20260407003430    209    410.0    525.0    2.5    160.3   1544.7   1591.0   0.732
20260407003430    215    430.0    445.0   20.0     94.3   1540.7   1545.4   0.678
20260407003430    241      0.0     10.0   10.0    102.1      0.0   1695.6   0.405
20260407003430    252     10.0    750.0    8.9    208.7   1878.6   1885.9   0.697
20260407003430    252    820.0    975.0    8.2    185.6   1899.8   1886.1   0.498
20260407003430    252   1025.0   1040.0    8.3    170.8   1887.6   1893.7   0.468
20260407003430    252   1095.0   1105.0    7.7    166.3   1890.7   1895.0   0.410
20260407010751    220    265.0    275.0    0.6     83.6   1633.2   1639.1   0.597
20260407010751    241     10.0    100.0    3.5    192.1   1811.4   1811.0   0.490
20260407010751    241    145.0    205.0    3.3    193.8   1815.1   1824.5   0.433
20260407010751    241    240.0    270.0    3.4    187.0   1825.9   1823.4   0.563
20260407010751    241    315.0    325.0    3.1    190.4   1820.2   1819.9   0.408
20260407010751    241    375.0    385.0    3.1    196.5   1820.7   1814.9   0.407
20260407010751    241    865.0    875.0    3.8    148.6   1815.7   1810.8   0.425
20260407010751    241   1425.0   1440.0    3.2    146.7   1817.6   1810.5   0.480
20260407010751    241   1475.0   1485.0    3.2    147.9   1816.5   1824.6   0.408
20260407010751    241   1535.0   1545.0    3.2    132.3   1819.7   1831.1   0.400
20260407010751    252   1225.0   1235.0    0.9    176.2   1928.9   1924.4   0.510
20260407010751    252   1605.0   1615.0    1.3    176.6   1923.9   1921.4   0.467
20260407021429    171    185.0    205.0   20.0    302.9   1397.0   1410.8   0.527
20260407021429    171    245.0    305.0   12.8    324.4   1388.8   1374.2   0.419
20260407021429    253    955.0   1185.0   20.0     81.2   1810.2   1764.2   0.816
20260407021429    253   1235.0   1250.0   20.0     68.3   1765.6   1770.0   0.696
20260407021429    253   1320.0   1335.0   20.0    108.8   1820.5   1830.4   0.659
20260407021429    253   1445.0   1680.0   20.0    133.0   1809.3   1767.7   0.724
20260407021429    253   1715.0   1800.0   20.0    113.6   1829.5   1758.8   0.715
20260407024750    134   1610.0   1625.0   20.0     33.3   1383.8   1387.4   0.894
20260407024750    134   1685.0   1695.0   20.0     27.9   1386.8   1392.0   0.881
20260407024750    253    105.0    115.0   20.0     91.5   1791.2   1792.9   0.808
20260407024750    253    190.0    245.0   20.0     92.8   1830.1   1786.1   0.775
20260407024750    253    300.0    310.0   20.0     88.8   1780.8   1781.3   0.705
20260407024750    253    545.0    560.0   20.0    121.1   1827.5   1780.9   0.728
20260407024750    253    600.0    680.0   20.0     98.8   1785.8   1792.2   0.790
20260407024750    253    720.0    735.0   20.0    103.3   1831.3   1793.0   0.705
20260407024750    253    805.0    970.0   20.0     86.6   1791.7   1779.4   0.816
20260407024750    253   1010.0   1075.0   20.0     75.5   1820.2   1908.5   0.831
20260407024750    253   1170.0   1220.0   20.0     71.7   1762.8   1906.3   0.855
20260407024750    253   1320.0   1345.0   20.0     69.3   1757.7   1756.1   0.876
20260407024750    253   1380.0   1390.0   20.0     68.8   1760.4   1761.5   0.868
20260407024750    253   1750.0   1765.0   20.0     68.5   1756.8   1887.5   0.861
20260407035427    219    770.0    780.0   20.0     72.8   1513.3   1517.3   0.509
20260407103408    174      0.0     55.0   16.9     67.9      0.0   1359.9   0.607

========================================================================
  End of report
========================================================================
