========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:12:23
Folder:     E:/Data/Complete_Runs\KSH01-010E-02L66628w01-237F07a
Files:      18
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406172307_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406172830_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406180157_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406183522_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406190846_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406194207_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406201528_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406204854_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406212217_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406215542_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406222905_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406230228_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260406233549_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260407000912_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260407004237_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260407011558_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260407014921_Baseline.tdd
            - KSH01-010E-02L66628w01-237F07a-OHMX237-237_20260407022244_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 42
  Total segments detected:  60
  Files with detections:    14

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260406172830    244   1530.0   1585.0   20.0     58.8   1600.8   1598.9   0.398
20260406172830    244   1754.0   1797.0   17.8     91.3   1641.8   1603.8   0.413
20260406183522     48    371.0   1140.0   20.0     98.4   1266.8   1341.1   0.884
20260406183522    138   1096.0   1489.0   19.1    230.7   1284.4   1260.0   0.832
20260406183522    185    532.0   1800.0   10.3    306.3   1310.1   1451.8   0.839
20260406190846    185    151.0   1800.0    5.9    191.9   1331.2   1409.6   0.643
20260406194207    185   1054.0   1070.0    3.2     51.9   1438.2   1441.1   0.277
20260406194207    185   1130.0   1166.0    3.1     56.3   1441.4   1446.8   0.377
20260406194207    185   1254.0   1800.0    2.7    101.8   1447.8   1487.4   0.758
20260406201528    185    317.0   1800.0    2.5     84.9   1470.2   1500.7   0.707
20260406204854    185      0.0   1800.0    1.8    101.5      0.0   1555.0   0.750
20260406212217    185      0.0   1800.0    1.6    103.2      0.0   1583.9   0.757
20260406183522    248    100.0    110.0   10.0     69.1   1634.8   1513.0   0.245
20260406190846    190   1300.0   1483.0    4.0    210.4   1408.5   1371.9   0.321
20260406204854    190   1190.0   1310.0    3.6     54.7   1472.7   1473.4   0.393
20260406204854    190   1385.0   1412.0    3.8     53.6   1478.3   1468.3   0.352
20260406204854    190   1528.0   1540.0    2.9     50.2   1471.9   1463.4   0.447
20260406212217    190    859.0    916.0   20.0     55.0   1478.6   1492.8   0.846
20260406212217    190    970.0    980.0   20.0     51.6   1475.2   1476.2   0.817
20260406212217    190   1415.0   1431.0   20.0     52.9   1486.6   1483.3   0.838
20260406212217    190   1530.0   1540.0   20.0     50.5   1483.9   1482.1   0.810
20260406212217    190   1660.0   1700.0   20.0     53.5   1485.0   1487.1   0.830
20260406212217    190   1755.0   1765.0   20.0     50.5   1488.1   1486.9   0.800
20260406194207     12   1582.0   1640.0    1.0     83.6   1362.8   1378.8   0.458
20260406201528     98    365.0    387.0    6.2    118.6   1275.4   1346.4   0.272
20260406201528     98    470.0    639.0   10.4     81.3   1353.1   1353.8   0.539
20260406201528     98   1035.0   1085.0   20.0     53.8   1367.2   1364.7   0.763
