========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-04-22 15:27:22
Folder:     D:/Data/Complete_Runs\SBH01-008D-02L66628w02-237D09a
Files:      32
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160203_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160729_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327164053_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327171418_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327174739_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327182100_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327185426_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327192748_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327200114_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327203437_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327210758_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327214120_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327221443_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327224807_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327232130_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327235450_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328002814_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328010136_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328013456_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328020819_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328024142_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328031503_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328034824_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328042143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328045502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328052823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328060144_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328063502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328070823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328074143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328081501_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328084819_Baseline.tdd

Parameters:
  Amplitude  >= 20.0 mV
  Frequency     0.1 - 20.0 Hz
  Periodicity >= 0.4
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 36
  Total segments detected:  89
  Files with detections:    16

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327171418     95   1145.0   1155.0   20.0     30.4   1317.3   1319.4   0.850
20260327171418     99   1055.0   1065.0   20.0    128.8   1475.9   1468.9   0.413
20260327171418     99   1250.0   1285.0   14.3    164.2   1456.1   1494.1   0.561
20260327171418     99   1790.0   1800.0   20.0     81.2   1463.4   1444.4   0.692
20260327171418    113    625.0    650.0   20.0    326.8   1522.1   1523.0   0.790
20260327174739    113   1630.0   1650.0   20.0    198.6   1515.5   1528.2   0.844
20260327182100    161    700.0    710.0   20.0     39.3   1546.1   1551.0   0.889
20260327182100    161    920.0    930.0   20.0     47.7   1557.3   1562.7   0.886
20260327182100    207    460.0    480.0   20.0     80.9   1570.0   1603.1   0.816
20260327182100    207   1275.0   1290.0   20.0    126.0   1620.2   1621.3   0.858
20260327182100    207   1425.0   1610.0   20.0    164.2   1649.1   1656.3   0.880
20260327182100    207   1675.0   1700.0   20.0    144.7   1656.6   1664.4   0.871
20260327182100    207   1745.0   1755.0   20.0    133.9   1660.6   1653.4   0.869
20260327185426     16    735.0    745.0    4.2    259.6   1606.8   1640.3   0.416
20260327185426     59   1015.0   1025.0   20.0     74.7   1441.7   1442.3   0.850
20260327185426     59   1290.0   1310.0   20.0     36.2   1427.7   1425.8   0.893
20260327185426     99    400.0    410.0   20.0    322.0   1501.8   1503.8   0.668
20260327185426    161   1350.0   1365.0   20.0     62.7   1576.4   1576.8   0.897
20260327185426    161   1605.0   1650.0   20.0     64.0   1590.1   1586.0   0.863
20260327185426    207   1040.0   1050.0    0.5    264.8   1802.4   1814.0   0.476
20260327185426    207   1200.0   1210.0    0.5    215.6   1808.5   1770.1   0.434
20260327185426    207   1580.0   1590.0    0.3    162.3   1771.1   1740.7   0.624
20260327192748     61    875.0   1255.0    7.9     65.8   1462.6   1463.7   0.718
20260327192748     61   1315.0   1475.0    3.2     62.9   1476.4   1478.0   0.455
20260327192748     61   1585.0   1605.0    3.1     68.4   1477.1   1478.7   0.513
20260327192748     61   1650.0   1660.0    2.1     74.8   1484.3   1484.6   0.427
20260327192748     99    255.0    300.0   12.5    345.3   1482.2   1475.0   0.510
20260327192748    187    220.0    230.0   20.0     48.4   1598.6   1600.8   0.461
20260327192748    207   1335.0   1350.0   20.0     32.7   1761.4   1754.0   0.895
20260327192748    218    395.0    405.0    0.6    151.8   1986.9   1988.2   0.664
20260327192748    218    730.0    935.0    6.2    122.9   1958.3   1961.9   0.505
20260327192748    218    985.0   1800.0    4.8    131.3   1963.7   1954.5   0.663
20260327192748    226   1150.0   1230.0   20.0    101.8   1882.0   1882.7   0.868
20260327192748    226   1325.0   1385.0   20.0    118.7   1908.5   1909.1   0.876
20260327192748    226   1420.0   1460.0   20.0    110.2   1906.4   1907.2   0.867
20260327192748    226   1505.0   1540.0   20.0    122.7   1904.8   1908.6   0.838
20260327192748    226   1625.0   1785.0   20.0    120.1   1906.6   1907.8   0.850
20260327200114     56   1740.0   1750.0   20.0    238.4   1516.1   1517.8   0.664
20260327200114     99   1630.0   1645.0   20.0    282.9   1493.7   1373.1   0.848
20260327200114    207    330.0    340.0   20.0     55.3   1783.7   1770.2   0.895
20260327200114    207    810.0    825.0   20.0     68.5   1774.5   1773.3   0.846
20260327200114    231    355.0    405.0    9.8     84.3   1819.6   1839.2   0.513
20260327200114    231    470.0    570.0    9.8    109.3   1830.7   1857.7   0.548
