========================================================================
  STEP NOISE FINDER — SCAN REPORT
========================================================================

Date:       2026-05-22 13:14:47
Folder:     E:/Data/Complete_Runs\SBH01-008D-02L66628w02-237D09a
Files:      32
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160203_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327160729_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327164053_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327171418_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327174739_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327182100_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327185426_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327192748_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327200114_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327203437_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327210758_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327214120_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327221443_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327224807_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327232130_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260327235450_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328002814_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328010136_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328013456_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328020819_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328024142_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328031503_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328034824_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328042143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328045502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328052823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328060144_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328063502_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328070823_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328074143_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328081501_Baseline.tdd
            - SBH01-008D-02L66628w02-237D09a-OHMX237-237_20260328084819_Baseline.tdd

Parameters:
  Amplitude  >= 50.0 mV
  Frequency     0.5 - 20.0 Hz
  Periodicity >= 0.2
  Gap merge  <= 30.0 s

========================================================================
  SUMMARY
========================================================================

  Channels with step noise: 44
  Total segments detected:  62
  Files with detections:    18

========================================================================
  DETECTIONS
========================================================================

File               Ch    Start      End   Freq      Amp    PreBL   PostBL  Period
---------------------------------------------------------------------------------
20260327171418     99    877.0   1800.0   13.4    167.0   1427.8   1444.4   0.692
20260327182100     99    280.0    424.0   15.4    176.5   1464.8   1485.2   0.384
20260327185426     99     81.0    140.0   10.3    100.9   1464.1   1501.7   0.569
20260327185426     99    333.0    431.0   17.6    354.4   1535.2   1503.4   0.668
20260327192748     99     44.0    115.0   20.0     62.6   1434.7   1457.7   0.275
20260327192748     99    200.0    447.0   10.4    348.0   1479.1   1536.5   0.510
20260327200114     99   1630.0   1645.0   20.0    282.9   1493.7   1373.1   0.848
20260327203437     99    260.0    360.0   13.1    199.0   1466.0   1438.0   0.754
20260327203437     99    395.0    705.0    4.5    236.2   1469.3   1355.0   0.538
20260327203437     99   1082.0   1800.0   19.9    311.6   1556.1   1492.8   0.780
20260327210758     99    148.0    397.0    4.2    141.9   1460.4   1502.6   0.817
20260327210758     99    433.0   1800.0   11.2    139.4   1501.4   1533.0   0.706
20260327171418    113    579.0    862.0   20.0    326.8   1523.5   1528.6   0.790
20260327174739    113   1470.0   1800.0   20.0    198.6   1485.3   1515.0   0.844
20260327182100     66    859.0    905.0    1.4    453.4   1513.9   1497.1   0.367
20260327192748     66   1011.0   1221.0    0.8    231.0   1505.8   1491.0   0.218
20260327182100    207    458.0    776.0   20.0     80.9   1567.8   1495.3   0.816
20260327182100    207   1053.0   1787.0   20.0    164.2   1502.0   1641.8   0.880
20260327185426    207    196.0    232.0   18.4     71.8   1732.5   1718.7   0.340
20260327185426    207    315.0    358.0    7.7     70.5   1723.2   1723.4   0.243
20260327185426    207    415.0    425.0    4.2    132.4   1732.4   1731.9   0.204
20260327185426    207    941.0   1385.0    0.6    264.8   1782.0   1602.4   0.476
20260327200114    207    330.0    348.0   20.0     55.3   1783.7   1781.8   0.895
20260327200114    207    636.0   1405.0   20.0     68.5   1775.7   1765.2   0.846
20260327185426     16    698.0    857.0    4.3    259.6   1625.8   1593.8   0.416
20260327185426     59    997.0   1073.0   20.0     74.7   1433.4   1441.7   0.850
20260327203437     59    690.0    925.0   16.1     90.3   1572.7   1637.0   0.583
20260327185426    161   1316.0   1369.0   20.0     62.7   1573.6   1578.8   0.897
20260327185426    161   1547.0   1800.0   20.0     64.0   1585.0   1583.8   0.863
20260327192748     61    815.0   1800.0    7.0     74.8   1456.5   1481.2   0.718
20260327192748    126    745.0    973.0    3.8    349.1   1481.2   1464.0   0.342
20260327192748    187    225.0    428.0    5.4     84.4   1598.6   1623.7   0.356
20260327192748    218    383.0    429.0    0.6    151.8   1847.1   1988.6   0.664
20260327192748    218    553.0   1800.0    4.8    139.9   1989.2   1954.5   0.663
20260327200114    218      1.0    253.0    0.5    153.6   1856.5   2021.4   0.320
20260327203437    218    800.0   1799.0    0.7    161.0   1898.4   2008.5   0.615
20260327192748    226    920.0   1800.0   20.0    122.7   1896.0   1901.4   0.876
20260327200114     56   1524.0   1615.0    4.0    284.6   1466.9   1401.7   0.379
20260327200114     56   1713.0   1784.0   12.2    242.0   1426.5   1495.7   0.664
20260327210758     56    357.0   1226.0   20.0    130.3   1524.3   1447.6   0.858
20260327200114     57    198.0    230.0    2.4    127.7   1518.8   1567.6   0.204
20260327200114    231    300.0    800.0    3.7    321.4   1819.2   1819.2   0.548
20260327203437    231    395.0    405.0   20.0     51.0   1862.6   1861.7   0.250
20260327203437    231    485.0   1800.0    8.9    304.9   1868.9   1858.5   0.933
20260327210758    231    280.0   1800.0    5.1    180.4   1806.0   1855.5   0.838
20260327210758    106    931.0    959.0    1.3    312.0   1587.8   1384.1   0.249
20260327214120    241   1557.0   1800.0   20.0    380.8   1758.5   1859.1   0.293
20260327221443    241    261.0    575.0   16.7    176.2   1855.2   1686.0   0.246
20260327221443    241    815.0   1210.0   18.9    292.7   1579.2   1708.9   0.686
20260327221443    241   1275.0   1659.0   11.4    427.9   1747.5   1673.8   0.491
20260327224807    241    340.0   1800.0    4.7    172.3   1835.8   1877.3   0.623
20260327232130    241    756.0   1799.0    1.1    216.9   1930.0   1931.5   0.792
20260327221443    244   1236.0   1784.0    2.4    100.3   1868.1   1879.4   0.292
20260327224807     94    202.0    519.0   17.9    443.6   1474.2   1568.8   0.485
20260328002814    169    514.0    574.0    0.7    116.1   1548.2   1544.4   0.283
20260328020819      5    157.0    413.0   20.0     70.2   1855.5   1892.2   0.773
20260328034824     18    940.0   1006.0    7.7    398.9   1814.2   1716.6   0.336
20260328045502     18    195.0    519.0    3.2    177.2   1727.0   1771.8   0.684
20260328074143    135   1643.0   1715.0   12.5    426.1   1644.4   1689.3   0.346
20260328081501    135    913.0    945.0    9.6    128.1   1642.0   1635.8   0.564
20260328081501    135   1014.0   1535.0    1.6    378.1   1634.5   1512.2   0.672
20260328081501    135   1570.0   1800.0    3.5    397.4   1521.2   1705.7   0.514

========================================================================
  End of report
========================================================================
